"","model","nuc","r","rsquare","RMSE","MAE"
"3",1,"C","0.999060773467808","0.998122429082094","1.09203588442933","0.708474576271187"
"31",2,"C","0.998564748410335","0.997131556767795","1.37951109000893","0.752542372881355"
"32",3,"C","0.99825411972496","0.996511287547855","1.49694604365926","0.838983050847457"
"33",4,"C","0.998589883967917","0.997181756363058","1.3710691114873","0.757627118644068"
"34",5,"C","0.999153893413962","0.998308502724279","1.08923857715659","0.583050847457628"
"35",6,"C","0.997139068699925","0.994286322327754","1.90614528053569","1.22542372881356"
"36",7,"C","0.998250093763453","0.996503249698743","1.5222641477724","0.76271186440678"
"37",8,"C","0.998136092775357","0.996275659700856","1.552854124573","1.05254237288136"
"38",9,"C","0.997961701539363","0.995927557739341","1.62214547196094","0.954237288135593"
"39",10,"C","0.998521206797437","0.997044600424209","1.3715017131424","0.742372881355932"
"310",11,"C","0.998109136310046","0.996221847985586","1.56053011418817","0.938983050847456"
