 Scale Standard Deviation
1   0.000000000         0.00000000
2   0.005025126         0.06570595
3   0.010050251         0.13916700
4   0.015075377         0.12964145
5   0.020100503         0.14965219
6   0.025125628         0.18366960
7   0.030150754         0.30329684
8   0.035175879         0.34308862
9   0.040201005         0.33398402
10  0.045226131         0.48218368
11  0.050251256         0.44223815
12  0.055276382         0.37541324
13  0.060301508         0.35001992
14  0.065326633         0.54787701
15  0.070351759         0.46650815
16  0.075376884         0.49929349
17  0.080402010         0.61331131
18  0.085427136         0.73447787
19  0.090452261         0.36858023
20  0.095477387         0.73470162
21  0.100502513         1.03278152
22  0.105527638         0.75551810
23  0.110552764         0.83466784
24  0.115577889         0.85394065
25  0.120603015         0.65924942
26  0.125628141         0.86500005
27  0.130653266         0.97508922
28  0.135678392         0.84920651
29  0.140703518         1.04522692
30  0.145728643         1.42650369
31  0.150753769         0.97477879
32  0.155778894         1.14531544
33  0.160804020         0.91970110
34  0.165829146         1.79975745
35  0.170854271         1.54766053
36  0.175879397         1.79022983
37  0.180904523         1.27932453
38  0.185929648         1.77741370
39  0.190954774         0.86689689
40  0.195979899         1.56222368
41  0.201005025         1.64478850
42  0.206030151         1.71037214
43  0.211055276         1.09438929
44  0.216080402         1.95958544
45  0.221105528         1.38871125
46  0.226130653         1.45403936
47  0.231155779         1.01076031
48  0.236180905         1.63017475
49  0.241206030         1.95958015
50  0.246231156         2.12590215
51  0.251256281         1.84950506
52  0.256281407         0.98227349
53  0.261306533         1.12356054
54  0.266331658         2.91982471
55  0.271356784         1.11420167
56  0.276381910         1.53431203
57  0.281407035         2.49717359
58  0.286432161         1.61356305
59  0.291457286         2.03440324
60  0.296482412         0.95240397
61  0.301507538         1.58203382
62  0.306532663         1.46644481
63  0.311557789         1.50998619
64  0.316582915         2.47192321
65  0.321608040         2.64694010
66  0.326633166         1.37490796
67  0.331658291         2.55700393
68  0.336683417         2.34794785
69  0.341708543         1.78987172
70  0.346733668         2.54849312
71  0.351758794         3.10649310
72  0.356783920         3.63126149
73  0.361809045         2.16869843
74  0.366834171         2.24573566
75  0.371859296         2.37257660
76  0.376884422         3.46837839
77  0.381909548         2.31536614
78  0.386934673         2.00295002
79  0.391959799         3.52271361
80  0.396984925         3.33647611
81  0.402010050         2.81815339
82  0.407035176         1.73860009
83  0.412060302         2.23312067
84  0.417085427         1.87596322
85  0.422110553         2.19378266
86  0.427135678         3.64153793
87  0.432160804         2.85099852
88  0.437185930         2.96525528
89  0.442211055         2.96582044
90  0.447236181         2.67344548
91  0.452261307         2.27005502
92  0.457286432         1.76577014
93  0.462311558         3.21604023
94  0.467336683         2.11530688
95  0.472361809         2.83607669
96  0.477386935         3.03479363
97  0.482412060         2.99393603
98  0.487437186         1.98482515
99  0.492462312         2.48862998
100 0.497487437         2.86823861
101 0.502512563         3.66077032
102 0.507537688         3.32886001
103 0.512562814         1.93542757
104 0.517587940         3.31814100
105 0.522613065         2.21364292
106 0.527638191         3.57986199
107 0.532663317         2.10967604
108 0.537688442         2.94947518
109 0.542713568         3.17729657
110 0.547738693         2.88122251
111 0.552763819         2.60465397
112 0.557788945         4.05296147
113 0.562814070         3.15308391
114 0.567839196         1.74438367
115 0.572864322         3.00771381
116 0.577889447         2.98257429
117 0.582914573         4.48338975
118 0.587939698         4.21374109
119 0.592964824         2.70656254
120 0.597989950         2.88338678
121 0.603015075         3.20673841
122 0.608040201         2.25883926
123 0.613065327         2.49901463
124 0.618090452         2.91228899
125 0.623115578         4.39430120
126 0.628140704         4.62328091
127 0.633165829         2.52428254
128 0.638190955         3.09962604
129 0.643216080         3.18309567
130 0.648241206         3.74470351
131 0.653266332         3.58266477
132 0.658291457         3.99560715
133 0.663316583         2.66148496
134 0.668341709         4.01480289
135 0.673366834         4.32243320
136 0.678391960         3.40274375
137 0.683417085         3.72918934
138 0.688442211         3.40427379
139 0.693467337         2.40690146
140 0.698492462         1.96408373
141 0.703517588         4.71193927
142 0.708542714         3.82245302
143 0.713567839         3.02822059
144 0.718592965         3.35176569
145 0.723618090         2.21510563
146 0.728643216         3.58114271
147 0.733668342         4.68516409
148 0.738693467         3.49302699
149 0.743718593         2.58230640
150 0.748743719         6.10410191
151 0.753768844         4.29805612
152 0.758793970         3.81235744
153 0.763819095         4.71670831
154 0.768844221         3.05800082
155 0.773869347         3.22361924
156 0.778894472         2.85635385
157 0.783919598         5.18079411
158 0.788944724         4.09499897
159 0.793969849         3.91403281
160 0.798994975         4.73699128
161 0.804020101         2.43920114
162 0.809045226         3.67475387
163 0.814070352         2.86020610
164 0.819095477         4.17981456
165 0.824120603         3.78421264
166 0.829145729         4.90057861
167 0.834170854         3.63993743
168 0.839195980         4.54698151
169 0.844221106         4.76779831
170 0.849246231         2.84976039
171 0.854271357         5.80460985
172 0.859296482         2.56721181
173 0.864321608         5.62019574
174 0.869346734         3.79414953
175 0.874371859         6.08414186
176 0.879396985         4.35133691
177 0.884422111         4.25481105
178 0.889447236         4.41567418
179 0.894472362         5.14880692
180 0.899497487         5.34592758
181 0.904522613         4.87021046
182 0.909547739         2.82994540
183 0.914572864         5.69384236
184 0.919597990         4.24672419
185 0.924623116         4.88775807
186 0.929648241         4.99151433
187 0.934673367         4.95584465
188 0.939698492         4.08899060
189 0.944723618         3.85638671
190 0.949748744         5.29980875
191 0.954773869         4.78632155
192 0.959798995         3.04855764
193 0.964824121         4.45495869
194 0.969849246         5.25415274
195 0.974874372         4.59485237
196 0.979899497         7.23520607
197 0.984924623         6.81940287
198 0.989949749         4.28055160
199 0.994974874         4.35734385
200 1.000000000         6.90484653
