iters cors rmsds mean_rmsd id
91 1000 0.333333333333333 5 3.973 1UUU
92 2000 0.352380952380952 0 1.5 1UUU
93 3000 0.371428571428571 0 2.72366666666667 1UUU
94 4000 0.352380952380952 5 2.084 1UUU
95 5000 0.371428571428571 0 2.72366666666667 1UUU
96 6000 0.352380952380952 0 2.70833333333333 1UUU
97 7000 0.40952380952381 0 1.459 1UUU
98 8000 0.371428571428571 0 0.662 1UUU
99 9000 0.352380952380952 0 2.72366666666667 1UUU
100 10000 0.314285714285714 0 3.973 1UUU
311 1000 0.390476190476191 0.917 1.141 1PJY
312 2000 0.390476190476191 0.917 1.141 1PJY
313 3000 0.40952380952381 0.917 1.141 1PJY
314 4000 0.523809523809524 0 1.141 1PJY
315 5000 0.447619047619048 0.917 1.141 1PJY
316 6000 0.447619047619048 0 1.141 1PJY
317 7000 0.40952380952381 0 1.141 1PJY
318 8000 0.466666666666667 0 2.37466666666667 1PJY
319 9000 0.561904761904762 0 1.141 1PJY
320 10000 0.466666666666667 0.917 2.37466666666667 1PJY
361 1000 0.561904761904762 0 3.65866666666667 1R7W
362 2000 0.714285714285714 0 1.612 1R7W
363 3000 0.6 0 1.612 1R7W
364 4000 0.542857142857143 0 4.30566666666667 1R7W
365 5000 0.561904761904762 0 3.17833333333333 1R7W
366 6000 0.561904761904762 0 2.869 1R7W
367 7000 0.638095238095238 0 1.612 1R7W
368 8000 0.523809523809524 0 3.65866666666667 1R7W
369 9000 0.561904761904762 0 3.17833333333333 1R7W
370 10000 0.561904761904762 0 3.65866666666667 1R7W
401 1000 0.504761904761905 2.223 1.997 1LC6
402 2000 0.542857142857143 3.71 1.73 1LC6
403 3000 0.504761904761905 3.71 2.471 1LC6
404 4000 0.447619047619048 3.71 3.216 1LC6
405 5000 0.485714285714286 3.71 3.70933333333333 1LC6
406 6000 0.447619047619048 3.71 1.97766666666667 1LC6
407 7000 0.466666666666667 3.71 1.97766666666667 1LC6
408 8000 0.447619047619048 0 1.97766666666667 1LC6
409 9000 0.504761904761905 0 1.97766666666667 1LC6
410 10000 0.504761904761905 0 1.97766666666667 1LC6
461 1000 0.0285714285714286 8.966 8.185 1LDZ
462 2000 -0.104761904761905 4.11 6.29366666666667 1LDZ
