iters cors rmsds mean_rmsd id
91 1000 0.295238095238095 0.734 1.91133333333333 1UUU
92 2000 0.352380952380952 0 1.91133333333333 1UUU
93 3000 0.504761904761905 0.734 1.91133333333333 1UUU
94 4000 0.504761904761905 0 1.91133333333333 1UUU
95 5000 0.485714285714286 0 1.91133333333333 1UUU
96 6000 0.447619047619048 0 1.91133333333333 1UUU
97 7000 0.523809523809524 0 1.91133333333333 1UUU
98 8000 0.428571428571429 0 1.91133333333333 1UUU
99 9000 0.447619047619048 0 1.91133333333333 1UUU
100 10000 0.352380952380952 0 1.91133333333333 1UUU
311 1000 0.00952380952380952 1.253 3.77133333333333 1PJY
312 2000 -0.238095238095238 8.676 7.695 1PJY
313 3000 -0.2 8.202 5.22066666666667 1PJY
314 4000 -0.161904761904762 1.253 4.13966666666667 1PJY
315 5000 -0.0285714285714286 1.253 4.13966666666667 1PJY
316 6000 0.123809523809524 1.253 3.10733333333333 1PJY
317 7000 0.0285714285714286 1.253 4.18833333333333 1PJY
318 8000 0.00952380952380952 1.253 3.93566666666667 1PJY
319 9000 -0.0857142857142857 3.11 4.34633333333333 1PJY
320 10000 0.0857142857142857 1.253 2.92633333333333 1PJY
361 1000 0.447619047619048 1.872 0.970333333333333 1R7W
362 2000 0.561904761904762 1.872 1.55733333333333 1R7W
363 3000 0.504761904761905 1.039 2.259 1R7W
364 4000 0.485714285714286 1.039 2.883 1R7W
365 5000 0.276190476190476 3.797 5.626 1R7W
366 6000 0.238095238095238 5.738 5.99533333333333 1R7W
367 7000 0.542857142857143 1.039 1.90366666666667 1R7W
368 8000 0.40952380952381 1.039 4.13766666666667 1R7W
369 9000 0.276190476190476 9.502 4.13766666666667 1R7W
370 10000 0.523809523809524 5.738 3.19233333333333 1R7W
401 1000 -0.295238095238095 7.419 6.924 1LC6
402 2000 -0.257142857142857 3.71 5.942 1LC6
403 3000 -0.0857142857142857 3.71 6.428 1LC6
404 4000 -0.123809523809524 8.155 6.428 1LC6
405 5000 -0.180952380952381 8.155 4.95033333333333 1LC6
406 6000 -0.295238095238095 8.155 6.428 1LC6
407 7000 -0.40952380952381 7.419 8.16933333333333 1LC6
408 8000 -0.161904761904762 7.419 6.924 1LC6
409 9000 -0.2 7.419 6.68766666666667 1LC6
410 10000 -0.123809523809524 3.71 6.428 1LC6
461 1000 0.123809523809524 7.354 4.15533333333333 1LDZ
462 2000 -0.0476190476190476 7.354 5.51433333333333 1LDZ
463 3000 0.0476190476190476 7.354 7.086 1LDZ
464 4000 -0.0476190476190476 7.354 7.365 1LDZ
