iters cors rmsds mean_rmsd id
91 1000 0.333333333333333 0.734 1.91133333333333 1UUU
92 2000 0.219047619047619 0 1.91133333333333 1UUU
93 3000 0.466666666666667 0.734 2.12166666666667 1UUU
94 4000 0.466666666666667 0 1.91133333333333 1UUU
95 5000 0.447619047619048 0 1.91133333333333 1UUU
96 6000 0.352380952380952 0 1.91133333333333 1UUU
97 7000 0.428571428571429 0 1.91133333333333 1UUU
98 8000 0.333333333333333 0 1.91133333333333 1UUU
99 9000 0.390476190476191 0 1.91133333333333 1UUU
100 10000 0.333333333333333 0 1.91133333333333 1UUU
311 1000 -0.0285714285714286 8.202 5.633 1PJY
312 2000 -0.219047619047619 6.207 3.52333333333333 1PJY
313 3000 -0.219047619047619 6.207 6.456 1PJY
314 4000 0.0285714285714286 1.253 4.13966666666667 1PJY
315 5000 -0.0285714285714286 4.959 4.13966666666667 1PJY
316 6000 0.161904761904762 1.253 4.13966666666667 1PJY
317 7000 0.0857142857142857 1.253 4.80466666666667 1PJY
318 8000 0.104761904761905 1.253 3.52333333333333 1PJY
319 9000 -0.104761904761905 3.11 3.52333333333333 1PJY
320 10000 0.2 1.253 2.92633333333333 1PJY
361 1000 0.523809523809524 1.039 0.970333333333333 1R7W
362 2000 0.6 1.872 1.55733333333333 1R7W
363 3000 0.466666666666667 1.039 2.259 1R7W
364 4000 0.504761904761905 1.039 2.57366666666667 1R7W
365 5000 0.447619047619048 3.797 5.626 1R7W
366 6000 0.276190476190476 5.738 5.99533333333333 1R7W
367 7000 0.619047619047619 1.039 1.90366666666667 1R7W
368 8000 0.466666666666667 1.039 4.77933333333333 1R7W
369 9000 0.390476190476191 5.738 3.47 1R7W
370 10000 0.504761904761905 5.738 3.19233333333333 1R7W
401 1000 -0.0666666666666667 3.71 3.978 1LC6
402 2000 -0.161904761904762 9.643 5.942 1LC6
403 3000 0.0857142857142857 3.71 3.48433333333333 1LC6
404 4000 0.104761904761905 8.155 4.22333333333333 1LC6
405 5000 0.0857142857142857 0.805 4.47766666666667 1LC6
406 6000 -0.0285714285714286 2.963 4.69733333333333 1LC6
407 7000 -0.2 7.419 7.67133333333333 1LC6
408 8000 0.142857142857143 7.419 3.978 1LC6
409 9000 -0.0857142857142857 7.419 4.45066666666667 1LC6
410 10000 0.0666666666666667 3.71 3.978 1LC6
461 1000 0.219047619047619 7.354 5.51433333333333 1LDZ
462 2000 0.0476190476190476 7.354 5.51433333333333 1LDZ
