iterations cor_combined variables
1000 0.676190476190476 mae
2000 0.695238095238095 mae
3000 0.638095238095238 mae
4000 0.676190476190476 mae
5000 0.695238095238095 mae
6000 0.676190476190476 mae
7000 0.676190476190476 mae
8000 0.676190476190476 mae
9000 0.676190476190476 mae
10000 0.676190476190476 mae
1000 0.714285714285714 r
2000 0.695238095238095 r
3000 0.695238095238095 r
4000 0.714285714285714 r
5000 0.695238095238095 r
6000 0.676190476190476 r
7000 0.676190476190476 r
8000 0.695238095238095 r
9000 0.676190476190476 r
10000 0.695238095238095 r
1000 0.0285714285714286 rho
2000 -0.104761904761905 rho
3000 0.0285714285714286 rho
4000 0.104761904761905 rho
5000 0.104761904761905 rho
6000 0.0857142857142857 rho
7000 0.0857142857142857 rho
8000 0.00952380952380952 rho
9000 -0.0285714285714286 rho
10000 -0.00952380952380952 rho
1000 0.714285714285714 rmse
2000 0.657142857142857 rmse
3000 0.638095238095238 rmse
4000 0.676190476190476 rmse
5000 0.676190476190476 rmse
6000 0.638095238095238 rmse
7000 0.657142857142857 rmse
8000 0.657142857142857 rmse
9000 0.695238095238095 rmse
10000 0.676190476190476 rmse
1000 0.295238095238095 tau
2000 0.238095238095238 tau
3000 0.371428571428571 tau
4000 0.485714285714286 tau
5000 0.523809523809524 tau
6000 0.390476190476191 tau
7000 0.390476190476191 tau
8000 0.219047619047619 tau
9000 0.352380952380952 tau
10000 0.352380952380952 tau
