iterations mrmsd_combined variables
1000 1.35866666666667 mae
2000 1.35866666666667 mae
3000 1.35866666666667 mae
4000 1.35866666666667 mae
5000 1.35866666666667 mae
6000 1.35866666666667 mae
7000 1.35866666666667 mae
8000 1.35866666666667 mae
9000 1.35866666666667 mae
10000 1.35866666666667 mae
1000 2.18533333333333 r
2000 2.18533333333333 r
3000 2.18533333333333 r
4000 2.18533333333333 r
5000 2.18533333333333 r
6000 2.18533333333333 r
7000 2.18533333333333 r
8000 2.18533333333333 r
9000 2.18533333333333 r
10000 2.18533333333333 r
1000 8.185 rho
2000 6.29366666666667 rho
3000 7.89033333333333 rho
4000 3.305 rho
5000 3.305 rho
6000 4.90166666666667 rho
7000 6.29366666666667 rho
8000 6.29366666666667 rho
9000 6.29366666666667 rho
10000 4.35866666666667 rho
1000 1.14933333333333 rmse
2000 1.35866666666667 rmse
3000 1.35866666666667 rmse
4000 1.35866666666667 rmse
5000 1.35866666666667 rmse
6000 1.35866666666667 rmse
7000 1.35866666666667 rmse
8000 1.35866666666667 rmse
9000 1.35866666666667 rmse
10000 1.35866666666667 rmse
1000 3.639 tau
2000 3.639 tau
3000 1.704 tau
4000 3.305 tau
5000 3.305 tau
6000 1.91333333333333 tau
7000 3.305 tau
8000 4.40666666666667 tau
9000 3.305 tau
10000 4.35866666666667 tau
