iterations cor_combined variables
1000 0.371428571428571 mae
2000 0.466666666666667 mae
3000 0.466666666666667 mae
4000 0.428571428571429 mae
5000 0.466666666666667 mae
6000 0.352380952380952 mae
7000 0.352380952380952 mae
8000 0.352380952380952 mae
9000 0.390476190476191 mae
10000 0.371428571428571 mae
1000 0.276190476190476 r
2000 0.276190476190476 r
3000 0.352380952380952 r
4000 0.314285714285714 r
5000 0.314285714285714 r
6000 0.219047619047619 r
7000 0.238095238095238 r
8000 0.219047619047619 r
9000 0.219047619047619 r
10000 0.219047619047619 r
1000 0.161904761904762 rho
2000 0.523809523809524 rho
3000 0.390476190476191 rho
4000 0.371428571428571 rho
5000 0.466666666666667 rho
6000 0.390476190476191 rho
7000 0.542857142857143 rho
8000 0.447619047619048 rho
9000 0.6 rho
10000 0.428571428571429 rho
1000 0.219047619047619 rmse
2000 0.295238095238095 rmse
3000 0.276190476190476 rmse
4000 0.238095238095238 rmse
5000 0.257142857142857 rmse
6000 0.161904761904762 rmse
7000 0.238095238095238 rmse
8000 0.161904761904762 rmse
9000 0.238095238095238 rmse
10000 0.142857142857143 rmse
1000 0.40952380952381 tau
2000 0.676190476190476 tau
3000 0.6 tau
4000 0.580952380952381 tau
5000 0.619047619047619 tau
6000 0.580952380952381 tau
7000 0.619047619047619 tau
8000 0.580952380952381 tau
9000 0.695238095238095 tau
10000 0.6 tau
