iterations mrmsd_combined variables
1000 3.14733333333333 mae
2000 2.90733333333333 mae
3000 2.90733333333333 mae
4000 2.90733333333333 mae
5000 3.14733333333333 mae
6000 3.14733333333333 mae
7000 3.14733333333333 mae
8000 3.14733333333333 mae
9000 3.14733333333333 mae
10000 3.14733333333333 mae
1000 3.81933333333333 r
2000 4.30233333333333 r
3000 2.62566666666667 r
4000 2.62566666666667 r
5000 3.58633333333333 r
6000 4.30233333333333 r
7000 4.30233333333333 r
8000 3.58633333333333 r
9000 4.30233333333333 r
10000 4.30233333333333 r
1000 5.517 rho
2000 2.19133333333333 rho
3000 2.91433333333333 rho
4000 2.91433333333333 rho
5000 2.91433333333333 rho
6000 2.19133333333333 rho
7000 2.91433333333333 rho
8000 2.91433333333333 rho
9000 2.91433333333333 rho
10000 2.91433333333333 rho
1000 3.81933333333333 rmse
2000 3.81933333333333 rmse
3000 2.62566666666667 rmse
4000 2.62566666666667 rmse
5000 2.62566666666667 rmse
6000 5.49133333333333 rmse
7000 5.49133333333333 rmse
8000 4.77533333333333 rmse
9000 5.49133333333333 rmse
10000 5.49133333333333 rmse
1000 2.19133333333333 tau
2000 1.48433333333333 tau
3000 2.19133333333333 tau
4000 2.19133333333333 tau
5000 2.19133333333333 tau
6000 2.19133333333333 tau
7000 2.19133333333333 tau
8000 2.19133333333333 tau
9000 2.19133333333333 tau
10000 2.19133333333333 tau
