iterations cor_combined variables
1000 0.6 mae
2000 0.638095238095238 mae
3000 0.619047619047619 mae
4000 0.6 mae
5000 0.542857142857143 mae
6000 0.6 mae
7000 0.657142857142857 mae
8000 0.619047619047619 mae
9000 0.619047619047619 mae
10000 0.619047619047619 mae
1000 0.561904761904762 r
2000 0.561904761904762 r
3000 0.561904761904762 r
4000 0.504761904761905 r
5000 0.485714285714286 r
6000 0.485714285714286 r
7000 0.561904761904762 r
8000 0.619047619047619 r
9000 0.638095238095238 r
10000 0.619047619047619 r
1000 0.561904761904762 rho
2000 0.714285714285714 rho
3000 0.6 rho
4000 0.542857142857143 rho
5000 0.561904761904762 rho
6000 0.561904761904762 rho
7000 0.638095238095238 rho
8000 0.523809523809524 rho
9000 0.561904761904762 rho
10000 0.561904761904762 rho
1000 0.580952380952381 rmse
2000 0.580952380952381 rmse
3000 0.580952380952381 rmse
4000 0.523809523809524 rmse
5000 0.504761904761905 rmse
6000 0.523809523809524 rmse
7000 0.6 rmse
8000 0.638095238095238 rmse
9000 0.619047619047619 rmse
10000 0.6 rmse
1000 0.6 tau
2000 0.638095238095238 tau
3000 0.580952380952381 tau
4000 0.542857142857143 tau
5000 0.561904761904762 tau
6000 0.561904761904762 tau
7000 0.619047619047619 tau
8000 0.580952380952381 tau
9000 0.580952380952381 tau
10000 0.561904761904762 tau
