iterations mrmsd_combined variables
1000 2.73933333333333 mae
2000 2.73933333333333 mae
3000 2.73933333333333 mae
4000 2.73933333333333 mae
5000 2.73933333333333 mae
6000 2.73933333333333 mae
7000 2.73933333333333 mae
8000 2.73933333333333 mae
9000 2.73933333333333 mae
10000 2.73933333333333 mae
1000 2.73933333333333 r
2000 2.73933333333333 r
3000 2.73933333333333 r
4000 2.73933333333333 r
5000 2.73933333333333 r
6000 2.73933333333333 r
7000 2.73933333333333 r
8000 2.73933333333333 r
9000 2.73933333333333 r
10000 2.73933333333333 r
1000 3.65866666666667 rho
2000 1.612 rho
3000 1.612 rho
4000 4.30566666666667 rho
5000 3.17833333333333 rho
6000 2.869 rho
7000 1.612 rho
8000 3.65866666666667 rho
9000 3.17833333333333 rho
10000 3.65866666666667 rho
1000 2.73933333333333 rmse
2000 2.73933333333333 rmse
3000 2.73933333333333 rmse
4000 2.73933333333333 rmse
5000 2.73933333333333 rmse
6000 2.73933333333333 rmse
7000 2.73933333333333 rmse
8000 2.73933333333333 rmse
9000 2.73933333333333 rmse
10000 2.73933333333333 rmse
1000 4.30566666666667 tau
2000 2.73933333333333 tau
3000 3.65866666666667 tau
4000 4.30566666666667 tau
5000 3.99633333333333 tau
6000 3.99633333333333 tau
7000 2.73933333333333 tau
8000 3.65866666666667 tau
9000 2.73933333333333 tau
10000 3.99633333333333 tau
