iterations cor_combined variables
1000 0.466666666666667 mae
2000 0.485714285714286 mae
3000 0.466666666666667 mae
4000 0.466666666666667 mae
5000 0.466666666666667 mae
6000 0.466666666666667 mae
7000 0.466666666666667 mae
8000 0.466666666666667 mae
9000 0.466666666666667 mae
10000 0.447619047619048 mae
1000 0.523809523809524 r
2000 0.6 r
3000 0.619047619047619 r
4000 0.6 r
5000 0.619047619047619 r
6000 0.580952380952381 r
7000 0.6 r
8000 0.619047619047619 r
9000 0.638095238095238 r
10000 0.638095238095238 r
1000 0.333333333333333 rho
2000 0.352380952380952 rho
3000 0.371428571428571 rho
4000 0.352380952380952 rho
5000 0.371428571428571 rho
6000 0.352380952380952 rho
7000 0.40952380952381 rho
8000 0.371428571428571 rho
9000 0.352380952380952 rho
10000 0.314285714285714 rho
1000 0.428571428571429 rmse
2000 0.447619047619048 rmse
3000 0.504761904761905 rmse
4000 0.485714285714286 rmse
5000 0.542857142857143 rmse
6000 0.504761904761905 rmse
7000 0.542857142857143 rmse
8000 0.542857142857143 rmse
9000 0.542857142857143 rmse
10000 0.542857142857143 rmse
1000 0.561904761904762 tau
2000 0.523809523809524 tau
3000 0.523809523809524 tau
4000 0.542857142857143 tau
5000 0.561904761904762 tau
6000 0.504761904761905 tau
7000 0.542857142857143 tau
8000 0.523809523809524 tau
9000 0.504761904761905 tau
10000 0.523809523809524 tau
