iterations cor_combined variables
1000 0.362637362637363 mae
2000 0.032967032967033 mae
3000 -0.0549450549450549 mae
4000 0.142857142857143 mae
5000 -0.032967032967033 mae
6000 0.0549450549450549 mae
7000 0.010989010989011 mae
8000 0.032967032967033 mae
9000 0.0549450549450549 mae
10000 0.142857142857143 mae
1000 0.340659340659341 r
2000 0.032967032967033 r
3000 -0.120879120879121 r
4000 0.010989010989011 r
5000 0.0989010989010989 r
6000 0.032967032967033 r
7000 0.0549450549450549 r
8000 0.032967032967033 r
9000 0.0769230769230769 r
10000 0.0989010989010989 r
1000 0.120879120879121 rho
2000 -0.010989010989011 rho
3000 0.120879120879121 rho
4000 0.186813186813187 rho
5000 0.032967032967033 rho
6000 0.186813186813187 rho
7000 0.142857142857143 rho
8000 0.120879120879121 rho
9000 0.296703296703297 rho
10000 0.252747252747253 rho
1000 0.340659340659341 rmse
2000 -0.032967032967033 rmse
3000 -0.0549450549450549 rmse
4000 0.230769230769231 rmse
5000 -0.0549450549450549 rmse
6000 0.0769230769230769 rmse
7000 0.0769230769230769 rmse
8000 0.0769230769230769 rmse
9000 0.0769230769230769 rmse
10000 0.0989010989010989 rmse
1000 0.287297202457111 tau
2000 0.252747252747253 tau
3000 0.243097632848325 tau
4000 0.274725274725275 tau
5000 0.164835164835165 tau
6000 0.186813186813187 tau
7000 0.252747252747253 tau
8000 0.362637362637363 tau
9000 0.362637362637363 tau
10000 0.384615384615385 tau
