iterations mrmsd_combined variables
1000 1.66566666666667 mae
2000 4.269 mae
3000 5.87533333333333 mae
4000 6.13366666666667 mae
5000 5.87166666666667 mae
6000 5.87166666666667 mae
7000 5.87166666666667 mae
8000 5.87166666666667 mae
9000 5.87166666666667 mae
10000 4.917 mae
1000 1.12866666666667 r
2000 7.46333333333333 r
3000 5.87533333333333 r
4000 6.92833333333333 r
5000 6.12933333333333 r
6000 6.12933333333333 r
7000 4.54766666666667 r
8000 6.12933333333333 r
9000 4.54766666666667 r
10000 7.57633333333333 r
1000 4.002 rho
2000 0.866666666666667 rho
3000 0.866666666666667 rho
4000 0.866666666666667 rho
5000 3.79466666666667 rho
6000 4.002 rho
7000 0.866666666666667 rho
8000 3.004 rho
9000 2.15166666666667 rho
10000 3.21133333333333 rho
1000 1.66566666666667 rmse
2000 5.34666666666667 rmse
3000 5.87533333333333 rmse
4000 4.06166666666667 rmse
5000 5.87166666666667 rmse
6000 5.87166666666667 rmse
7000 5.87166666666667 rmse
8000 5.87166666666667 rmse
9000 5.87166666666667 rmse
10000 4.917 rmse
1000 0.866666666666667 tau
2000 0.866666666666667 tau
3000 0.866666666666667 tau
4000 2.68033333333333 tau
5000 2.68033333333333 tau
6000 2.15166666666667 tau
7000 2.93866666666667 tau
8000 0.866666666666667 tau
9000 2.15166666666667 tau
10000 2.15166666666667 tau
