iterations mrmsd_combined variables
1000 10.942 mae
2000 7.90233333333333 mae
3000 7.90233333333333 mae
4000 7.59466666666667 mae
5000 10.03 mae
6000 4.25466666666667 mae
7000 4.25466666666667 mae
8000 4.25466666666667 mae
9000 4.25466666666667 mae
10000 7.59466666666667 mae
1000 10.942 r
2000 7.90233333333333 r
3000 10.03 r
4000 7.90233333333333 r
5000 10.03 r
6000 4.25466666666667 r
7000 4.25466666666667 r
8000 4.25466666666667 r
9000 4.25466666666667 r
10000 7.59466666666667 r
1000 2.15033333333333 rho
2000 2.15033333333333 rho
3000 2.15033333333333 rho
4000 1.83333333333333 rho
5000 1.83333333333333 rho
6000 2.433 rho
7000 1.83333333333333 rho
8000 4.25466666666667 rho
9000 1.83333333333333 rho
10000 1.83333333333333 rho
1000 10.942 rmse
2000 7.90233333333333 rmse
3000 7.90233333333333 rmse
4000 7.59466666666667 rmse
5000 7.90233333333333 rmse
6000 4.25466666666667 rmse
7000 4.25466666666667 rmse
8000 4.25466666666667 rmse
9000 4.25466666666667 rmse
10000 7.59466666666667 rmse
1000 2.15033333333333 tau
2000 2.15033333333333 tau
3000 2.15033333333333 tau
4000 3.36833333333333 tau
5000 3.36833333333333 tau
6000 1.83333333333333 tau
7000 1.83333333333333 tau
8000 1.83333333333333 tau
9000 1.83333333333333 tau
10000 1.83333333333333 tau
