iterations cor_combined variables
1000 0.161904761904762 mae
2000 0.219047619047619 mae
3000 0.314285714285714 mae
4000 0.238095238095238 mae
5000 0.314285714285714 mae
6000 0.352380952380952 mae
7000 0.352380952380952 mae
8000 0.314285714285714 mae
9000 0.314285714285714 mae
10000 0.352380952380952 mae
1000 -0.161904761904762 r
2000 -0.257142857142857 r
3000 -0.0476190476190476 r
4000 0.00952380952380952 r
5000 -0.0285714285714286 r
6000 0.161904761904762 r
7000 0.123809523809524 r
8000 0.142857142857143 r
9000 0.142857142857143 r
10000 -0.0285714285714286 r
1000 0.542857142857143 rho
2000 0.428571428571429 rho
3000 0.542857142857143 rho
4000 0.504761904761905 rho
5000 0.752380952380952 rho
6000 0.733333333333333 rho
7000 0.580952380952381 rho
8000 0.6 rho
9000 0.6 rho
10000 0.561904761904762 rho
1000 -0.00952380952380952 rmse
2000 -0.0476190476190476 rmse
3000 0.219047619047619 rmse
4000 0.314285714285714 rmse
5000 0.2 rmse
6000 0.314285714285714 rmse
7000 0.257142857142857 rmse
8000 0.352380952380952 rmse
9000 0.333333333333333 rmse
10000 0.238095238095238 rmse
1000 0.714285714285714 tau
2000 0.638095238095238 tau
3000 0.695238095238095 tau
4000 0.695238095238095 tau
5000 0.714285714285714 tau
6000 0.714285714285714 tau
7000 0.638095238095238 tau
8000 0.676190476190476 tau
9000 0.657142857142857 tau
10000 0.657142857142857 tau
