iterations mrmsd_combined variables
1000 5.099 mae
2000 6.77566666666667 mae
3000 6.11166666666667 mae
4000 6.11166666666667 mae
5000 5.099 mae
6000 5.099 mae
7000 5.099 mae
8000 5.099 mae
9000 5.099 mae
10000 4.45633333333333 mae
1000 8.11066666666667 r
2000 8.26966666666667 r
3000 5.24566666666667 r
4000 5.24566666666667 r
5000 5.24566666666667 r
6000 1.55033333333333 r
7000 1.55033333333333 r
8000 1.55033333333333 r
9000 1.55033333333333 r
10000 5.24566666666667 r
1000 2.403 rho
2000 1.55033333333333 rho
3000 1.55033333333333 rho
4000 1.55033333333333 rho
5000 1.55033333333333 rho
6000 1.55033333333333 rho
7000 1.55033333333333 rho
8000 1.55033333333333 rho
9000 1.55033333333333 rho
10000 1.55033333333333 rho
1000 7.42533333333333 rmse
2000 8.80066666666667 rmse
3000 3.90333333333333 rmse
4000 3.90333333333333 rmse
5000 3.90333333333333 rmse
6000 1.55033333333333 rmse
7000 1.55033333333333 rmse
8000 1.55033333333333 rmse
9000 1.55033333333333 rmse
10000 3.90333333333333 rmse
1000 2.403 tau
2000 1.55033333333333 tau
3000 2.403 tau
4000 1.55033333333333 tau
5000 1.55033333333333 tau
6000 1.55033333333333 tau
7000 1.55033333333333 tau
8000 1.55033333333333 tau
9000 1.55033333333333 tau
10000 1.55033333333333 tau
