iterations cor_combined variables
1000 -0.0476190476190476 mae
2000 -0.142857142857143 mae
3000 -0.0666666666666667 mae
4000 -0.0476190476190476 mae
5000 0.00952380952380952 mae
6000 -0.0476190476190476 mae
7000 -0.0476190476190476 mae
8000 0.00952380952380952 mae
9000 0.00952380952380952 mae
10000 -0.00952380952380952 mae
1000 -0.142857142857143 r
2000 -0.314285714285714 r
3000 -0.161904761904762 r
4000 -0.142857142857143 r
5000 -0.161904761904762 r
6000 -0.104761904761905 r
7000 -0.0857142857142857 r
8000 -0.123809523809524 r
9000 -0.142857142857143 r
10000 -0.2 r
1000 0.333333333333333 rho
2000 0.390476190476191 rho
3000 0.229667700705286 rho
4000 0.278859045187269 rho
5000 0.317322361764824 rho
6000 0.298090703476046 rho
7000 0.259627386898492 rho
8000 0.231908414260979 rho
9000 0.238095238095238 rho
10000 0.363640526116703 rho
1000 -0.142857142857143 rmse
2000 -0.219047619047619 rmse
3000 -0.219047619047619 rmse
4000 -0.123809523809524 rmse
5000 -0.123809523809524 rmse
6000 -0.123809523809524 rmse
7000 -0.123809523809524 rmse
8000 -0.123809523809524 rmse
9000 -0.123809523809524 rmse
10000 -0.161904761904762 rmse
1000 0.370463368998102 tau
2000 0.429396032097355 tau
3000 0.223838155078032 tau
4000 0.378712177939848 tau
5000 0.39432317676706 tau
6000 0.3592910406096 tau
7000 0.398133315270097 tau
8000 0.307171682952793 tau
9000 0.22790157122304 tau
10000 0.326989210885231 tau
