iterations cor_combined variables
1000 0.142857142857143 mae
2000 0.295238095238095 mae
3000 0.238095238095238 mae
4000 0.2 mae
5000 0.238095238095238 mae
6000 0.257142857142857 mae
7000 0.219047619047619 mae
8000 0.161904761904762 mae
9000 0.238095238095238 mae
10000 0.2 mae
1000 0.295238095238095 r
2000 0.371428571428571 r
3000 0.6 r
4000 0.542857142857143 r
5000 0.523809523809524 r
6000 0.580952380952381 r
7000 0.523809523809524 r
8000 0.542857142857143 r
9000 0.485714285714286 r
10000 0.542857142857143 r
1000 -0.0857142857142857 rho
2000 0.123809523809524 rho
3000 0.00952380952380952 rho
4000 0.0285714285714286 rho
5000 0.00952380952380952 rho
6000 0.0285714285714286 rho
7000 0.123809523809524 rho
8000 0.0857142857142857 rho
9000 0.142857142857143 rho
10000 0.142857142857143 rho
1000 0.428571428571429 rmse
2000 0.390476190476191 rmse
3000 0.447619047619048 rmse
4000 0.523809523809524 rmse
5000 0.542857142857143 rmse
6000 0.638095238095238 rmse
7000 0.466666666666667 rmse
8000 0.485714285714286 rmse
9000 0.523809523809524 rmse
10000 0.523809523809524 rmse
1000 0.180952380952381 tau
2000 0.333333333333333 tau
3000 0.229667700705286 tau
4000 0.333333333333333 tau
5000 0.333333333333333 tau
6000 0.344501551057929 tau
7000 0.40952380952381 tau
8000 0.371428571428571 tau
9000 0.428571428571429 tau
10000 0.478474376469346 tau
