iterations mrmsd_combined variables
1000 3.48933333333333 mae
2000 3.48933333333333 mae
3000 3.48933333333333 mae
4000 3.48933333333333 mae
5000 3.48933333333333 mae
6000 3.48933333333333 mae
7000 3.48933333333333 mae
8000 3.48933333333333 mae
9000 3.48933333333333 mae
10000 3.48933333333333 mae
1000 1.09133333333333 r
2000 1.09133333333333 r
3000 1.09133333333333 r
4000 1.09133333333333 r
5000 1.09133333333333 r
6000 1.09133333333333 r
7000 1.09133333333333 r
8000 1.09133333333333 r
9000 1.09133333333333 r
10000 1.09133333333333 r
1000 6.314 rho
2000 5.447 rho
3000 3.70933333333333 rho
4000 3.70933333333333 rho
5000 3.96866666666667 rho
6000 4.79333333333333 rho
7000 3.70933333333333 rho
8000 3.96866666666667 rho
9000 5.66733333333333 rho
10000 3.96866666666667 rho
1000 4.36033333333333 rmse
2000 3.48933333333333 rmse
3000 2.39866666666667 rmse
4000 1.09133333333333 rmse
5000 1.09133333333333 rmse
6000 1.09133333333333 rmse
7000 3.48933333333333 rmse
8000 3.48933333333333 rmse
9000 3.48933333333333 rmse
10000 3.48933333333333 rmse
1000 3.70933333333333 tau
2000 2.61833333333333 tau
3000 2.61833333333333 tau
4000 2.61833333333333 tau
5000 2.61833333333333 tau
6000 2.61833333333333 tau
7000 3.70933333333333 tau
8000 3.489 tau
9000 2.61833333333333 tau
10000 2.61833333333333 tau
