iterations cor_combined variables
1000 -0.461538461538462 mae
2000 -0.230769230769231 mae
3000 -0.256410256410256 mae
4000 -0.0769230769230769 mae
5000 0.0769230769230769 mae
6000 -0.128205128205128 mae
7000 -0.102564102564103 mae
8000 -0.256410256410256 mae
9000 -0.153846153846154 mae
10000 -0.307692307692308 mae
1000 -0.384615384615385 r
2000 -0.282051282051282 r
3000 -0.230769230769231 r
4000 -0.0769230769230769 r
5000 0.0256410256410256 r
6000 -0.230769230769231 r
7000 -0.179487179487179 r
8000 -0.307692307692308 r
9000 -0.179487179487179 r
10000 -0.205128205128205 r
1000 -0.153846153846154 rho
2000 -0.205128205128205 rho
3000 -0.102564102564103 rho
4000 -0.0512820512820513 rho
5000 0.256410256410256 rho
6000 0 rho
7000 -0.0256410256410256 rho
8000 -0.179487179487179 rho
9000 0 rho
10000 -0.0769230769230769 rho
1000 -0.384615384615385 rmse
2000 -0.256410256410256 rmse
3000 -0.128205128205128 rmse
4000 -0.0256410256410256 rmse
5000 0.0256410256410256 rmse
6000 -0.179487179487179 rmse
7000 -0.153846153846154 rmse
8000 -0.230769230769231 rmse
9000 -0.102564102564103 rmse
10000 -0.153846153846154 rmse
1000 -0.128205128205128 tau
2000 -0.179487179487179 tau
3000 -0.256410256410256 tau
4000 -0.102564102564103 tau
5000 0.153846153846154 tau
6000 0 tau
7000 -0.102564102564103 tau
8000 -0.102564102564103 tau
9000 -0.0769230769230769 tau
10000 -0.153846153846154 tau
