iterations mrmsd_combined variables
1000 9.37333333333333 mae
2000 8.874 mae
3000 8.874 mae
4000 7.184 mae
5000 4.39966666666667 mae
6000 7.184 mae
7000 7.184 mae
8000 7.66233333333333 mae
9000 7.66233333333333 mae
10000 7.66233333333333 mae
1000 9.11066666666667 r
2000 8.874 r
3000 8.874 r
4000 7.42333333333333 r
5000 7.03266666666667 r
6000 8.62033333333333 r
7000 7.66233333333333 r
8000 7.66233333333333 r
9000 7.66233333333333 r
10000 8.62033333333333 r
1000 5.83433333333333 rho
2000 7.91233333333333 rho
3000 8.874 rho
4000 7.184 rho
5000 3.91633333333333 rho
6000 6.70066666666667 rho
7000 6.70066666666667 rho
8000 6.70066666666667 rho
9000 6.70066666666667 rho
10000 6.70066666666667 rho
1000 9.37333333333333 rmse
2000 8.874 rmse
3000 8.874 rmse
4000 7.42333333333333 rmse
5000 7.03266666666667 rmse
6000 7.66233333333333 rmse
7000 7.66233333333333 rmse
8000 7.66233333333333 rmse
9000 7.66233333333333 rmse
10000 7.66233333333333 rmse
1000 4.89133333333333 tau
2000 6.479 tau
3000 7.67566666666667 tau
4000 7.44066666666667 tau
5000 3.91633333333333 tau
6000 5.26733333333333 tau
7000 5.26733333333333 tau
8000 5.26733333333333 tau
9000 5.26733333333333 tau
10000 6.70066666666667 tau
