iterations cor_combined variables
1000 0.328046147400986 mae
2000 0.323313245893891 mae
3000 0.315021537602183 mae
4000 0.322790113112694 mae
5000 0.33102274070016 mae
6000 0.326575574962672 mae
7000 0.319725435854468 mae
8000 0.32139903107645 mae
9000 0.329453342356568 mae
10000 0.317964830868057 mae
1000 0.293110115690761 r
2000 0.289516934678225 r
3000 0.281261749003685 r
4000 0.293348586896974 r
5000 0.301420085291053 r
6000 0.29333462236688 r
7000 0.299821683692651 r
8000 0.301897027703479 r
9000 0.307835175577111 r
10000 0.293853458369587 r
1000 0.375816656461818 rho
2000 0.38777136841653 rho
3000 0.381305211483237 rho
4000 0.381479884162597 rho
5000 0.382322618523303 rho
6000 0.38049889026317 rho
7000 0.380672344015426 rho
8000 0.378046797117 rho
9000 0.387467252148693 rho
10000 0.370951696152925 rho
1000 0.273930370704564 rmse
2000 0.266332592139044 rmse
3000 0.252027542350123 rmse
4000 0.283761399890432 rmse
5000 0.274392274392274 rmse
6000 0.270737864286251 rmse
7000 0.276644860515828 rmse
8000 0.288510414316866 rmse
9000 0.290786632722117 rmse
10000 0.270689525528235 rmse
1000 0.417801937004465 tau
2000 0.450289604132681 tau
3000 0.436838760489469 tau
4000 0.433068998271837 tau
5000 0.444771844594429 tau
6000 0.436078266357436 tau
7000 0.427578577355502 tau
8000 0.430350154946327 tau
9000 0.43171153406424 tau
10000 0.424020297919262 tau
