iterations mrmsd_combined variables
1000 3.65361290322581 mae
2000 3.87495161290323 mae
3000 3.88644086021505 mae
4000 3.82979569892473 mae
5000 3.6935 mae
6000 3.63825268817204 mae
7000 3.74721505376344 mae
8000 3.73176344086022 mae
9000 3.7386935483871 mae
10000 3.70845161290323 mae
1000 3.75539784946237 r
2000 3.93153225806452 r
3000 4.20475806451613 r
4000 3.91983333333334 r
5000 3.92346774193548 r
6000 3.81013440860215 r
7000 3.49736559139785 r
8000 3.48756451612903 r
9000 3.54168817204301 r
10000 3.80837096774194 r
1000 3.03238172043011 rho
2000 3.20718817204301 rho
3000 3.11259677419355 rho
4000 3.15749462365591 rho
5000 3.10811290322581 rho
6000 3.41418279569892 rho
7000 2.99765053763441 rho
8000 3.22079032258065 rho
9000 3.24954838709677 rho
10000 3.20482795698925 rho
1000 3.83622043010753 rmse
2000 3.99613440860215 rmse
3000 4.14740322580645 rmse
4000 3.90638172043011 rmse
5000 3.88988172043011 rmse
6000 3.82473655913979 rmse
7000 3.69272580645161 rmse
8000 3.72395161290323 rmse
9000 3.69752688172043 rmse
10000 3.85929032258065 rmse
1000 2.67527419354839 tau
2000 2.64227956989247 tau
3000 2.72675806451613 tau
4000 2.88794623655914 tau
5000 2.85924731182796 tau
6000 2.9154247311828 tau
7000 2.90174731182796 tau
8000 2.76225806451613 tau
9000 2.97168279569892 tau
10000 3.00740860215054 tau
