iterations cor_combined variables
1000 0.390476190476191 mae
2000 0.371428571428571 mae
3000 0.428571428571429 mae
4000 0.447619047619048 mae
5000 0.447619047619048 mae
6000 0.428571428571429 mae
7000 0.40952380952381 mae
8000 0.428571428571429 mae
9000 0.371428571428571 mae
10000 0.371428571428571 mae
1000 0.523809523809524 r
2000 0.466666666666667 r
3000 0.447619047619048 r
4000 0.40952380952381 r
5000 0.447619047619048 r
6000 0.447619047619048 r
7000 0.428571428571429 r
8000 0.447619047619048 r
9000 0.428571428571429 r
10000 0.428571428571429 r
1000 0.123809523809524 rho
2000 -0.0476190476190476 rho
3000 0.0476190476190476 rho
4000 -0.0476190476190476 rho
5000 -0.104761904761905 rho
6000 -0.0857142857142857 rho
7000 0.0476190476190476 rho
8000 -0.00952380952380952 rho
9000 0.0666666666666667 rho
10000 0.0476190476190476 rho
1000 0.466666666666667 rmse
2000 0.40952380952381 rmse
3000 0.428571428571429 rmse
4000 0.447619047619048 rmse
5000 0.428571428571429 rmse
6000 0.428571428571429 rmse
7000 0.371428571428571 rmse
8000 0.390476190476191 rmse
9000 0.40952380952381 rmse
10000 0.428571428571429 rmse
1000 0.219047619047619 tau
2000 0.0476190476190476 tau
3000 0.219047619047619 tau
4000 0.0857142857142857 tau
5000 0.123809523809524 tau
6000 0.161904761904762 tau
7000 0.219047619047619 tau
8000 0.123809523809524 tau
9000 0.180952380952381 tau
10000 0.2 tau
