iterations mrmsd_combined variables
1000 4.40666666666667 mae
2000 3.305 mae
3000 3.305 mae
4000 3.305 mae
5000 3.305 mae
6000 3.305 mae
7000 3.84833333333333 mae
8000 3.305 mae
9000 3.305 mae
10000 3.305 mae
1000 3.305 r
2000 3.305 r
3000 3.305 r
4000 3.305 r
5000 2.18533333333333 r
6000 2.18533333333333 r
7000 3.305 r
8000 2.18533333333333 r
9000 2.18533333333333 r
10000 2.18533333333333 r
1000 4.15533333333333 rho
2000 5.51433333333333 rho
3000 7.086 rho
4000 7.365 rho
5000 7.11533333333333 rho
6000 5.51433333333333 rho
7000 7.365 rho
8000 7.11533333333333 rho
9000 7.11533333333333 rho
10000 6.55033333333333 rho
1000 3.305 rmse
2000 3.305 rmse
3000 3.305 rmse
4000 3.305 rmse
5000 3.305 rmse
6000 3.305 rmse
7000 3.305 rmse
8000 3.305 rmse
9000 3.305 rmse
10000 3.305 rmse
1000 5.51433333333333 tau
2000 5.51433333333333 tau
3000 4.15533333333333 tau
4000 5.51433333333333 tau
5000 7.11533333333333 tau
6000 5.51433333333333 tau
7000 5.51433333333333 tau
8000 4.72033333333333 tau
9000 6.55033333333333 tau
10000 6.55033333333333 tau
