iterations mrmsd_combined variables
1000 4.30233333333333 mae
2000 4.30233333333333 mae
3000 4.30233333333333 mae
4000 4.30233333333333 mae
5000 4.30233333333333 mae
6000 5.027 mae
7000 5.027 mae
8000 4.30233333333333 mae
9000 4.30233333333333 mae
10000 4.30233333333333 mae
1000 4.542 r
2000 5.50466666666667 r
3000 5.027 r
4000 4.30233333333333 r
5000 6.22066666666667 r
6000 6.22066666666667 r
7000 5.027 r
8000 5.027 r
9000 4.30233333333333 r
10000 4.30233333333333 r
1000 5.5 rho
2000 6.23233333333333 rho
3000 5.75466666666667 rho
4000 5.75466666666667 rho
5000 6.71233333333333 rho
6000 6.71233333333333 rho
7000 5.75466666666667 rho
8000 5.75466666666667 rho
9000 5.75466666666667 rho
10000 5.75466666666667 rho
1000 4.059 rmse
2000 5.50466666666667 rmse
3000 5.027 rmse
4000 3.58633333333333 rmse
5000 6.22066666666667 rmse
6000 6.22066666666667 rmse
7000 5.027 rmse
8000 5.027 rmse
9000 4.30233333333333 rmse
10000 4.30233333333333 rmse
1000 6.69366666666667 tau
2000 7.19 tau
3000 5.27166666666667 tau
4000 5.027 tau
5000 6.71233333333333 tau
6000 6.71233333333333 tau
7000 5.027 tau
8000 5.75466666666667 tau
9000 5.75466666666667 tau
10000 5.75466666666667 tau
