iterations cor_combined variables
1000 0.466666666666667 mae
2000 0.504761904761905 mae
3000 0.523809523809524 mae
4000 0.504761904761905 mae
5000 0.485714285714286 mae
6000 0.504761904761905 mae
7000 0.504761904761905 mae
8000 0.485714285714286 mae
9000 0.485714285714286 mae
10000 0.504761904761905 mae
1000 0.390476190476191 r
2000 0.447619047619048 r
3000 0.447619047619048 r
4000 0.390476190476191 r
5000 0.352380952380952 r
6000 0.390476190476191 r
7000 0.371428571428571 r
8000 0.447619047619048 r
9000 0.390476190476191 r
10000 0.390476190476191 r
1000 0.447619047619048 rho
2000 0.561904761904762 rho
3000 0.504761904761905 rho
4000 0.485714285714286 rho
5000 0.276190476190476 rho
6000 0.238095238095238 rho
7000 0.542857142857143 rho
8000 0.40952380952381 rho
9000 0.276190476190476 rho
10000 0.523809523809524 rho
1000 0.428571428571429 rmse
2000 0.428571428571429 rmse
3000 0.428571428571429 rmse
4000 0.428571428571429 rmse
5000 0.428571428571429 rmse
6000 0.390476190476191 rmse
7000 0.447619047619048 rmse
8000 0.485714285714286 rmse
9000 0.447619047619048 rmse
10000 0.428571428571429 rmse
1000 0.523809523809524 tau
2000 0.6 tau
3000 0.466666666666667 tau
4000 0.504761904761905 tau
5000 0.447619047619048 tau
6000 0.276190476190476 tau
7000 0.619047619047619 tau
8000 0.466666666666667 tau
9000 0.390476190476191 tau
10000 0.504761904761905 tau
