iterations mrmsd_combined variables
1000 4.30566666666667 mae
2000 4.30566666666667 mae
3000 4.30566666666667 mae
4000 4.30566666666667 mae
5000 4.30566666666667 mae
6000 4.30566666666667 mae
7000 4.30566666666667 mae
8000 4.30566666666667 mae
9000 4.30566666666667 mae
10000 4.30566666666667 mae
1000 7.473 r
2000 7.473 r
3000 7.473 r
4000 7.473 r
5000 7.473 r
6000 7.473 r
7000 7.473 r
8000 7.473 r
9000 7.473 r
10000 7.473 r
1000 0.970333333333333 rho
2000 1.55733333333333 rho
3000 2.259 rho
4000 2.883 rho
5000 5.626 rho
6000 5.99533333333333 rho
7000 1.90366666666667 rho
8000 4.13766666666667 rho
9000 4.13766666666667 rho
10000 3.19233333333333 rho
1000 7.473 rmse
2000 7.473 rmse
3000 7.473 rmse
4000 7.473 rmse
5000 7.473 rmse
6000 7.473 rmse
7000 7.473 rmse
8000 7.473 rmse
9000 7.473 rmse
10000 7.473 rmse
1000 0.970333333333333 tau
2000 1.55733333333333 tau
3000 2.259 tau
4000 2.57366666666667 tau
5000 5.626 tau
6000 5.99533333333333 tau
7000 1.90366666666667 tau
8000 4.77933333333333 tau
9000 3.47 tau
10000 3.19233333333333 tau
