iterations cor_combined variables
1000 0.638095238095238 mae
2000 0.561904761904762 mae
3000 0.580952380952381 mae
4000 0.542857142857143 mae
5000 0.580952380952381 mae
6000 0.523809523809524 mae
7000 0.542857142857143 mae
8000 0.523809523809524 mae
9000 0.523809523809524 mae
10000 0.542857142857143 mae
1000 0.657142857142857 r
2000 0.638095238095238 r
3000 0.638095238095238 r
4000 0.638095238095238 r
5000 0.6 r
6000 0.638095238095238 r
7000 0.657142857142857 r
8000 0.6 r
9000 0.6 r
10000 0.6 r
1000 0.295238095238095 rho
2000 0.352380952380952 rho
3000 0.504761904761905 rho
4000 0.504761904761905 rho
5000 0.485714285714286 rho
6000 0.447619047619048 rho
7000 0.523809523809524 rho
8000 0.428571428571429 rho
9000 0.447619047619048 rho
10000 0.352380952380952 rho
1000 0.580952380952381 rmse
2000 0.561904761904762 rmse
3000 0.561904761904762 rmse
4000 0.561904761904762 rmse
5000 0.580952380952381 rmse
6000 0.580952380952381 rmse
7000 0.561904761904762 rmse
8000 0.561904761904762 rmse
9000 0.561904761904762 rmse
10000 0.561904761904762 rmse
1000 0.333333333333333 tau
2000 0.219047619047619 tau
3000 0.466666666666667 tau
4000 0.466666666666667 tau
5000 0.447619047619048 tau
6000 0.352380952380952 tau
7000 0.428571428571429 tau
8000 0.333333333333333 tau
9000 0.390476190476191 tau
10000 0.333333333333333 tau
