iterations mrmsd_combined variables
1000 3.53033333333333 mae
2000 6.13366666666667 mae
3000 5.87533333333333 mae
4000 6.13366666666667 mae
5000 7.478 mae
6000 7.478 mae
7000 7.478 mae
8000 7.478 mae
9000 7.478 mae
10000 6.78166666666667 mae
1000 3.53033333333333 r
2000 6.13366666666667 r
3000 5.87533333333333 r
4000 6.13366666666667 r
5000 5.87166666666667 r
6000 5.87166666666667 r
7000 5.87166666666667 r
8000 5.87166666666667 r
9000 5.87166666666667 r
10000 6.78166666666667 r
1000 4.92966666666667 rho
2000 6.39833333333333 rho
3000 8.79566666666667 rho
4000 8.79566666666667 rho
5000 7.73866666666667 rho
6000 8.79566666666667 rho
7000 6.679 rho
8000 6.51133333333333 rho
9000 6.51133333333333 rho
10000 6.51133333333333 rho
1000 3.53033333333333 rmse
2000 6.13366666666667 rmse
3000 5.87533333333333 rmse
4000 6.13366666666667 rmse
5000 5.87166666666667 rmse
6000 5.87166666666667 rmse
7000 5.87166666666667 rmse
8000 5.87166666666667 rmse
9000 5.87166666666667 rmse
10000 6.78166666666667 rmse
1000 4.92966666666667 tau
2000 7.72666666666667 tau
3000 8.79566666666667 tau
4000 8.79566666666667 tau
5000 7.73866666666667 tau
6000 7.466 tau
7000 5.86333333333333 tau
8000 6.51133333333333 tau
9000 7.466 tau
10000 6.51133333333333 tau
