iterations mrmsd_combined variables
1000 10.942 mae
2000 7.90233333333333 mae
3000 10.03 mae
4000 7.59466666666667 mae
5000 10.03 mae
6000 4.25466666666667 mae
7000 4.25466666666667 mae
8000 4.25466666666667 mae
9000 4.25466666666667 mae
10000 7.59466666666667 mae
1000 8.83766666666667 r
2000 7.90233333333333 r
3000 6.39066666666667 r
4000 7.90233333333333 r
5000 6.39066666666667 r
6000 4.25466666666667 r
7000 4.25466666666667 r
8000 4.25466666666667 r
9000 4.25466666666667 r
10000 6.995 r
1000 5.78966666666667 rho
2000 2.15033333333333 rho
3000 3.37766666666667 rho
4000 1.83333333333333 rho
5000 1.83333333333333 rho
6000 2.15033333333333 rho
7000 3.37766666666667 rho
8000 4.25466666666667 rho
9000 3.37766666666667 rho
10000 3.37766666666667 rho
1000 10.942 rmse
2000 7.90233333333333 rmse
3000 6.39066666666667 rmse
4000 3.95533333333333 rmse
5000 7.90233333333333 rmse
6000 4.25466666666667 rmse
7000 4.25466666666667 rmse
8000 4.25466666666667 rmse
9000 4.25466666666667 rmse
10000 3.95533333333333 rmse
1000 5.78966666666667 tau
2000 6.09733333333333 tau
3000 4.55766666666667 tau
4000 1.83333333333333 tau
5000 2.15033333333333 tau
6000 2.15033333333333 tau
7000 4.25466666666667 tau
8000 4.25466666666667 tau
9000 4.25466666666667 tau
10000 3.95533333333333 tau
