iterations mrmsd_combined variables
1000 6.08966666666667 mae
2000 7.10233333333333 mae
3000 7.10233333333333 mae
4000 7.10233333333333 mae
5000 7.10233333333333 mae
6000 7.10233333333333 mae
7000 7.10233333333333 mae
8000 5.79 mae
9000 7.10233333333333 mae
10000 5.447 mae
1000 7.10233333333333 r
2000 6.107 r
3000 6.107 r
4000 6.107 r
5000 6.107 r
6000 7.10233333333333 r
7000 7.10233333333333 r
8000 6.107 r
9000 6.107 r
10000 6.107 r
1000 9.11766666666667 rho
2000 11.1703333333333 rho
3000 5.74866666666667 rho
4000 8.58666666666667 rho
5000 5.79 rho
6000 9.11766666666667 rho
7000 7.811 rho
8000 9.11766666666667 rho
9000 8.43233333333333 rho
10000 9.78933333333333 rho
1000 5.447 rmse
2000 8.80633333333333 rmse
3000 4.40633333333333 rmse
4000 7.10233333333333 rmse
5000 7.10233333333333 rmse
6000 6.107 rmse
7000 6.45 rmse
8000 4.79466666666667 rmse
9000 6.45 rmse
10000 3.094 rmse
1000 9.11766666666667 tau
2000 8.471 tau
3000 8.10166666666667 tau
4000 9.10866666666667 tau
5000 6.454 tau
6000 8.45366666666667 tau
7000 9.46633333333333 tau
8000 7.811 tau
9000 9.78933333333333 tau
10000 9.78933333333333 tau
