iterations cor_combined variables
1000 0.295238095238095 mae
2000 0.142857142857143 mae
3000 0.371428571428571 mae
4000 0.504761904761905 mae
5000 0.523809523809524 mae
6000 0.542857142857143 mae
7000 0.485714285714286 mae
8000 0.523809523809524 mae
9000 0.504761904761905 mae
10000 0.466666666666667 mae
1000 0.295238095238095 r
2000 0.238095238095238 r
3000 0.314285714285714 r
4000 0.333333333333333 r
5000 0.428571428571429 r
6000 0.466666666666667 r
7000 0.428571428571429 r
8000 0.504761904761905 r
9000 0.466666666666667 r
10000 0.485714285714286 r
1000 0 rho
2000 -0.447676310156064 rho
3000 -0.107889812495025 rho
4000 -0.166738801128675 rho
5000 -0.0985807941917649 rho
6000 0.0591484765150589 rho
7000 -0.0679739806558702 rho
8000 -0.0996023841111995 rho
9000 -0.136626010212795 rho
10000 -0.270559816637809 rho
1000 0.219047619047619 rmse
2000 0.0285714285714286 rmse
3000 0.352380952380952 rmse
4000 0.371428571428571 rmse
5000 0.447619047619048 rmse
6000 0.523809523809524 rmse
7000 0.485714285714286 rmse
8000 0.485714285714286 rmse
9000 0.542857142857143 rmse
10000 0.447619047619048 rmse
1000 -0.0205737799949456 tau
2000 -0.395318929823828 tau
3000 -0.107889812495025 tau
4000 -0.0901127113779166 tau
5000 -0.0591484765150589 tau
6000 0.0891788756959721 tau
7000 0.00990876396621912 tau
8000 -0.0603938441678774 tau
9000 -0.119522860933439 tau
10000 -0.256310064898589 tau
