iterations mrmsd_combined variables
1000 2.89433333333333 mae
2000 4.09933333333333 mae
3000 2.651 mae
4000 2.18833333333333 mae
5000 2.18833333333333 mae
6000 2.18833333333333 mae
7000 3.152 mae
8000 2.18833333333333 mae
9000 2.18833333333333 mae
10000 2.18833333333333 mae
1000 2.89433333333333 r
2000 2.651 r
3000 2.651 r
4000 2.651 r
5000 2.18833333333333 r
6000 2.18833333333333 r
7000 3.152 r
8000 2.18833333333333 r
9000 2.18833333333333 r
10000 2.18833333333333 r
1000 4.585 rho
2000 5.304 rho
3000 3.376 rho
4000 5.304 rho
5000 5.79333333333333 rho
6000 3.135 rho
7000 4.09933333333333 rho
8000 3.376 rho
9000 5.79333333333333 rho
10000 6.51666666666667 rho
1000 4.821 rmse
2000 4.821 rmse
3000 2.18833333333333 rmse
4000 0.983333333333333 rmse
5000 2.18833333333333 rmse
6000 2.18833333333333 rmse
7000 1.224 rmse
8000 2.18833333333333 rmse
9000 2.18833333333333 rmse
10000 2.18833333333333 rmse
1000 3.13933333333333 tau
2000 5.304 tau
3000 3.376 tau
4000 5.304 tau
5000 5.79333333333333 tau
6000 3.135 tau
7000 4.09933333333333 tau
8000 3.376 tau
9000 5.79333333333333 tau
10000 6.51666666666667 tau
