iterations cor_combined variables
1000 0.390476190476191 mae
2000 0.428571428571429 mae
3000 0.485714285714286 mae
4000 0.504761904761905 mae
5000 0.523809523809524 mae
6000 0.523809523809524 mae
7000 0.466666666666667 mae
8000 0.485714285714286 mae
9000 0.485714285714286 mae
10000 0.466666666666667 mae
1000 0.295238095238095 r
2000 0.219047619047619 r
3000 0.295238095238095 r
4000 0.428571428571429 r
5000 0.40952380952381 r
6000 0.40952380952381 r
7000 0.276190476190476 r
8000 0.276190476190476 r
9000 0.295238095238095 r
10000 0.276190476190476 r
1000 0.428571428571429 rho
2000 0.40952380952381 rho
3000 0.40952380952381 rho
4000 0.352380952380952 rho
5000 0.314285714285714 rho
6000 0.40952380952381 rho
7000 0.40952380952381 rho
8000 0.40952380952381 rho
9000 0.485714285714286 rho
10000 0.485714285714286 rho
1000 0.314285714285714 rmse
2000 0.276190476190476 rmse
3000 0.428571428571429 rmse
4000 0.428571428571429 rmse
5000 0.447619047619048 rmse
6000 0.466666666666667 rmse
7000 0.390476190476191 rmse
8000 0.428571428571429 rmse
9000 0.447619047619048 rmse
10000 0.371428571428571 rmse
1000 0.504761904761905 tau
2000 0.257142857142857 tau
3000 0.390476190476191 tau
4000 0.447619047619048 tau
5000 0.40952380952381 tau
6000 0.485714285714286 tau
7000 0.428571428571429 tau
8000 0.428571428571429 tau
9000 0.542857142857143 tau
10000 0.523809523809524 tau
