iterations mrmsd_combined variables
1000 1.523 mae
2000 1.523 mae
3000 1.523 mae
4000 1.523 mae
5000 1.523 mae
6000 1.523 mae
7000 1.523 mae
8000 1.523 mae
9000 1.523 mae
10000 1.523 mae
1000 5.011 r
2000 5.011 r
3000 4.578 r
4000 4.14166666666667 r
5000 4.14166666666667 r
6000 4.14166666666667 r
7000 5.011 r
8000 5.011 r
9000 4.79766666666667 r
10000 5.011 r
1000 1.523 rho
2000 1.523 rho
3000 3.481 rho
4000 3.481 rho
5000 3.481 rho
6000 3.481 rho
7000 3.481 rho
8000 3.481 rho
9000 3.481 rho
10000 3.481 rho
1000 3.921 rmse
2000 3.921 rmse
3000 3.921 rmse
4000 3.921 rmse
5000 3.921 rmse
6000 3.921 rmse
7000 3.921 rmse
8000 3.921 rmse
9000 3.921 rmse
10000 3.921 rmse
1000 1.523 tau
2000 1.523 tau
3000 1.523 tau
4000 1.523 tau
5000 1.523 tau
6000 1.523 tau
7000 1.523 tau
8000 1.523 tau
9000 1.523 tau
10000 1.523 tau
