iterations cor_combined variables
1000 -0.384615384615385 mae
2000 -0.358974358974359 mae
3000 -0.205128205128205 mae
4000 -0.128205128205128 mae
5000 0.0512820512820513 mae
6000 -0.128205128205128 mae
7000 -0.179487179487179 mae
8000 -0.128205128205128 mae
9000 -0.128205128205128 mae
10000 -0.230769230769231 mae
1000 -0.358974358974359 r
2000 -0.282051282051282 r
3000 -0.128205128205128 r
4000 -0.0256410256410256 r
5000 0.102564102564103 r
6000 -0.205128205128205 r
7000 -0.128205128205128 r
8000 -0.256410256410256 r
9000 -0.153846153846154 r
10000 -0.128205128205128 r
1000 -0.0769230769230769 rho
2000 -0.153846153846154 rho
3000 -0.102564102564103 rho
4000 0.179487179487179 rho
5000 0.307692307692308 rho
6000 0.0256410256410256 rho
7000 0.205128205128205 rho
8000 0 rho
9000 0 rho
10000 -0.0256410256410256 rho
1000 -0.333333333333333 rmse
2000 -0.282051282051282 rmse
3000 0.0256410256410256 rmse
4000 0.0769230769230769 rmse
5000 0.128205128205128 rmse
6000 -0.0769230769230769 rmse
7000 -0.0769230769230769 rmse
8000 -0.153846153846154 rmse
9000 -0.0512820512820513 rmse
10000 -0.0769230769230769 rmse
1000 -0.0512820512820513 tau
2000 -0.0512820512820513 tau
3000 0.0769230769230769 tau
4000 0.282051282051282 tau
5000 0.358974358974359 tau
6000 0.205128205128205 tau
7000 0.307692307692308 tau
8000 0.0256410256410256 tau
9000 0.205128205128205 tau
10000 0.179487179487179 tau
