iterations mrmsd_combined variables
1000 9.11066666666667 mae
2000 8.874 mae
3000 8.874 mae
4000 7.42333333333333 mae
5000 7.03266666666667 mae
6000 7.42333333333333 mae
7000 8.62033333333333 mae
8000 7.184 mae
9000 7.66233333333333 mae
10000 7.66233333333333 mae
1000 9.11066666666667 r
2000 8.874 r
3000 8.874 r
4000 7.42333333333333 r
5000 7.03266666666667 r
6000 8.62033333333333 r
7000 8.62033333333333 r
8000 8.62033333333333 r
9000 7.42333333333333 r
10000 8.62033333333333 r
1000 4.43033333333333 rho
2000 7.91233333333333 rho
3000 7.42333333333333 rho
4000 4.79033333333333 rho
5000 4.878 rho
6000 7.66233333333333 rho
7000 4.06766666666667 rho
8000 5.02933333333333 rho
9000 7.66233333333333 rho
10000 7.66233333333333 rho
1000 9.11066666666667 rmse
2000 8.874 rmse
3000 8.874 rmse
4000 7.184 rmse
5000 7.03266666666667 rmse
6000 7.66233333333333 rmse
7000 7.66233333333333 rmse
8000 7.66233333333333 rmse
9000 7.66233333333333 rmse
10000 7.66233333333333 rmse
1000 6.11766666666667 tau
2000 7.91233333333333 tau
3000 6.32466666666667 tau
4000 4.639 tau
5000 2.71933333333333 tau
6000 2.71933333333333 tau
7000 4.06766666666667 tau
8000 5.02933333333333 tau
9000 2.87066666666667 tau
10000 4.06766666666667 tau
