iterations cor_combined variables
1000 0.214355536936182 mae
2000 0.212831254766739 mae
3000 0.226837678450582 mae
4000 0.233995037220844 mae
5000 0.232113048242081 mae
6000 0.227756114852889 mae
7000 0.228008550589196 mae
8000 0.233668482055579 mae
9000 0.229949620272201 mae
10000 0.226975175362272 mae
1000 0.157948503109793 r
2000 0.144352421771777 r
3000 0.145083948309755 r
4000 0.166026446671608 r
5000 0.159267614106324 r
6000 0.153248901635998 r
7000 0.158125745222519 r
8000 0.156137410976121 r
9000 0.153729066632292 r
10000 0.160208608595705 r
1000 0.0510983640015898 rho
2000 0.0613824263656334 rho
3000 0.0716865996332154 rho
4000 0.0818390393488801 rho
5000 0.0906768601024896 rho
6000 0.0930340360164761 rho
7000 0.103147788427113 rho
8000 0.0856903340827741 rho
9000 0.0911906438047042 rho
10000 0.0836212651361363 rho
1000 0.182893450635386 rmse
2000 0.178788952982501 rmse
3000 0.170976335492465 rmse
4000 0.192139043751947 rmse
5000 0.182673240737757 rmse
6000 0.195449711578744 rmse
7000 0.191759853050176 rmse
8000 0.206140096462677 rmse
9000 0.199577841513325 rmse
10000 0.184178187403994 rmse
1000 0.0968935048578049 tau
2000 0.10134870355839 tau
3000 0.111986487060279 tau
4000 0.130150288007918 tau
5000 0.132377177258361 tau
6000 0.148073764862365 tau
7000 0.150943020898838 tau
8000 0.142884502749251 tau
9000 0.132009459745866 tau
10000 0.126850654757243 tau
