iterations mrmsd_combined variables
1000 4.26356451612903 mae
2000 4.35219892473118 mae
3000 4.38060215053764 mae
4000 4.50154301075269 mae
5000 4.51525268817204 mae
6000 4.48711827956989 mae
7000 4.45996774193548 mae
8000 4.21471505376344 mae
9000 4.44427956989247 mae
10000 4.48336559139785 mae
1000 4.97108064516129 r
2000 5.08887634408602 r
3000 5.33656451612903 r
4000 5.08763978494624 r
5000 5.00587096774194 r
6000 4.90716666666667 r
7000 4.8445 r
8000 4.88401612903226 r
9000 4.68335483870968 r
10000 4.83765053763441 r
1000 5.30734408602151 rho
2000 5.31391397849462 rho
3000 5.47484946236559 rho
4000 5.41224193548387 rho
5000 5.45506989247312 rho
6000 5.63636021505376 rho
7000 5.27177419354839 rho
8000 5.42839247311828 rho
9000 5.44966666666667 rho
10000 5.36312365591398 rho
1000 4.45816129032258 rmse
2000 4.75288709677419 rmse
3000 4.67983333333333 rmse
4000 4.58056451612903 rmse
5000 4.607 rmse
6000 4.5354623655914 rmse
7000 4.35781720430108 rmse
8000 4.2924623655914 rmse
9000 4.37945698924731 rmse
10000 4.40354838709677 rmse
1000 5.12724731182796 tau
2000 5.17702688172043 tau
3000 4.89959139784946 tau
4000 4.82363440860215 tau
5000 4.91632795698925 tau
6000 4.8674247311828 tau
7000 4.77055913978495 tau
8000 4.70313440860215 tau
9000 4.91865591397849 tau
10000 4.96466666666667 tau
