"","model","nuc","r","rsquare","RMSE","MAE"
"2",1,"H","0.98070779211923","0.961787773523374","0.24766557147516","0.158529411764706"
"21",2,"H","0.963313055632408","0.927972043151846","0.34086611137271","0.221911764705882"
"22",3,"H","0.974439769654517","0.949532864684349","0.287570963109159","0.184705882352941"
"23",4,"H","0.962471615274591","0.92635161020928","0.341794571946022","0.218235294117647"
"24",5,"H","0.969051789124014","0.939061370004452","0.313251449459113","0.202352941176471"
"25",6,"H","0.962109928527091","0.925655514570405","0.34342564911577","0.233235294117647"
"26",7,"H","0.966889691630956","0.934875675782206","0.323691937786895","0.198823529411765"
"27",8,"H","0.959783774298259","0.921184893406211","0.353942085658092","0.229852941176471"
"28",9,"H","0.973038887156579","0.946804675918915","0.294406182000311","0.185735294117647"
"29",10,"H","0.971856910115339","0.944505853738934","0.299867617850434","0.193235294117647"
"210",11,"H","0.971617154396829","0.944039894718191","0.302642771363903","0.203382352941176"
