"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.286809523809524,0.442772810710823,0.999953450828812,0.997438217064208,0.969736138630732,0
"2",2,0.273125984251969,0.42182024943647,0.999958298713376,0.995851899684487,0.960882443153499,3.074
"3",3,0.277322834645669,0.449476826235607,0.99995299197635,0.995276179851489,0.963302691270456,2.645
"4",4,0.268251968503937,0.41695342363424,0.999958752083533,0.996115561444947,0.962950141255361,3.122
"5",5,0.266314960629921,0.442504255062063,0.999953378482958,0.996412915244347,0.967399469773749,2.151
"6",6,0.300456692913386,0.52182980602558,0.999935106898521,0.996948960615612,0.966632025538172,4.136
"7",7,0.28284251968504,0.443507023974774,0.999953681472587,0.994983251674245,0.962115275083246,2.88
"8",8,0.308614173228347,0.487329489663886,0.999944440970199,0.997086654109497,0.965259049971811,7.194
"9",9,0.281976377952756,0.442967862896458,0.999953357824543,0.991885364943446,0.948983769167246,2.261
"10",10,0.264055118110236,0.405694378977399,0.999960871984923,0.996522723374568,0.965945750302569,2.261
"11",11,0.267700787401574,0.438573923773601,0.999955083300672,0.99604957935437,0.963552860004545,2.626
