"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.218539682539682,0.368550550042336,0.999967757030616,0.997496689943594,0.97475140862138,0
"2",2,0.204716535433071,0.336900239913158,0.999974061001732,0.996923998808001,0.969688046852525,3.074
"3",3,0.201527559055118,0.344537302415726,0.999973317422676,0.997183265099575,0.972940609547583,2.645
"4",4,0.220803149606299,0.356238993475504,0.999969788300659,0.997556790625595,0.974011233386014,3.122
"5",5,0.17207874015748,0.293737951671159,0.999979875849512,0.997518699724873,0.974075102260795,2.151
"6",6,0.247118110236221,0.421234649478484,0.999959083570873,0.99719793704118,0.970882271862187,4.136
"7",7,0.207866141732283,0.357371275211728,0.999970181590809,0.995939630055802,0.968985349289593,2.88
"8",8,0.249700787401574,0.441946784839443,0.999954747522975,0.998858968534461,0.979838493299036,7.194
"9",9,0.211377952755906,0.347589528488649,0.999971094225805,0.996948890650673,0.969558701098255,2.261
"10",10,0.20632283464567,0.333393987919853,0.999973409130553,0.996962069211739,0.970747180830373,2.261
"11",11,0.199748031496062,0.356808027521714,0.999971037353867,0.997631451142308,0.973370865790149,2.626
