"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.249944444444444,0.421566362999585,0.999958430054828,0.997558217964961,0.970248718136602,0
"2",2,0.237732283464567,0.406126953503711,0.999960952568281,0.997083712277888,0.968510743203963,3.074
"3",3,0.271740157480315,0.464557930581474,0.999949672980578,0.997482098574794,0.970195605163601,2.645
"4",4,0.297141732283465,0.529287851666048,0.999933435846604,0.997794102520459,0.97176250793384,3.122
"5",5,0.234338582677166,0.399617090347295,0.999961947828204,0.997183338797991,0.970210131921267,2.151
"6",6,0.275622047244095,0.452457471791028,0.999951946918276,0.995901634008912,0.958793337233172,4.136
"7",7,0.240511811023623,0.421518692200021,0.99995878594141,0.996899105682395,0.972002444475658,2.88
"8",8,0.304582677165354,0.483607848552009,0.99994467659353,0.997206774133063,0.965889299012956,7.194
"9",9,0.260937007874016,0.436208349770438,0.999954312794783,0.996073067477107,0.964888206334963,2.261
"10",10,0.270385826771654,0.424925292183236,0.99995735674037,0.996740992487303,0.967957031369779,2.261
"11",11,0.287464566929134,0.533095284801099,0.999933433184943,0.997085176876735,0.966381951202897,2.626
