"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.171944444444444,0.274951842825277,0.99998202358826,0.998357639598163,0.978191419306811,0
"2",2,0.198188976377953,0.341975801510717,0.999972682841199,0.998459079562453,0.979772869784118,3.074
"3",3,0.20796062992126,0.376395743739899,0.999967959838339,0.999069888659395,0.983784512713806,2.645
"4",4,0.222858267716536,0.388504451276195,0.999964035888804,0.998239368458389,0.9763291563138,3.122
"5",5,0.18172440944882,0.319771756692102,0.999975655146722,0.998952715248355,0.983538180989655,2.151
"6",6,0.200409448818898,0.332606930292711,0.999973770886689,0.998536700141054,0.980017489528562,4.136
"7",7,0.200874015748032,0.377225542926537,0.999966942187296,0.998100200234549,0.976509571990729,2.88
"8",8,0.241905511811024,0.436257906094459,0.999955607946782,0.998125149999622,0.974523701741141,7.194
"9",9,0.200795275590552,0.359052460361072,0.999969373512081,0.998901438810756,0.982405504253508,2.261
"10",10,0.202007874015748,0.350030043704913,0.999970653918727,0.998586515414693,0.98065210330252,2.261
"11",11,0.213905511811024,0.398877006283556,0.999965887407985,0.997717932904099,0.973830491375356,2.626
