"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,3.71662325581395,8.06278950920632,0.990195912509625,0.977443507347347,0.896193896184218,0
"2",2,3.52980555555556,7.74643932540766,0.990985218438519,0.985753740260079,0.917772841281638,3.074
"3",3,3.66916666666667,7.80873635743966,0.990839335826909,0.982022011442822,0.913193583448215,2.645
"4",4,3.73349074074074,7.98215025274565,0.990577639762142,0.986407487093156,0.918267107713181,3.122
"5",5,3.63280555555556,8.03449503356897,0.99040523571179,0.987077604511384,0.920440124566693,2.151
"6",6,3.67822222222222,7.98947610691483,0.990454190103394,0.982990747235143,0.911256259903119,4.136
"7",7,3.4548287037037,7.51198462427675,0.991488338526328,0.986507511218413,0.916863574157992,2.88
"8",8,3.72731018518519,8.02069383515056,0.990446847332698,0.979075762644814,0.906355226947603,7.194
"9",9,3.69770833333333,7.99387166863652,0.990411963694133,0.982203615587805,0.910370199121795,2.261
"10",10,3.69167592592593,7.99141028669974,0.99037669171505,0.98052368360809,0.906943084836211,2.261
"11",11,3.5417962962963,7.80707420359064,0.990860191106657,0.986653679307657,0.9203338649432,2.626
