"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,3.6942976744186,8.26485708707461,0.989702414824422,0.972601714635,0.888009477040983,0
"2",2,3.49521296296296,7.91551707442764,0.990600545227104,0.985043417414145,0.920984384734597,3.074
"3",3,3.65032407407407,7.82800230416893,0.990797641062673,0.981247084849356,0.912911362607702,2.645
"4",4,3.68903703703704,7.9034574695017,0.990618102529624,0.984605785314911,0.918933925174578,3.122
"5",5,3.61775,8.27674890212871,0.989807392288506,0.984452459082189,0.916385512274211,2.151
"6",6,3.66698148148148,8.2257644550747,0.989879388669464,0.980621324369996,0.906531284110897,4.136
"7",7,3.43484722222222,7.79620791219585,0.990825840256325,0.98448522026423,0.914471546159459,2.88
"8",8,3.71456944444444,8.27954482248829,0.989828353310418,0.973543288465318,0.895746510868757,7.194
"9",9,3.66381944444444,8.08784351809233,0.990144037224086,0.979360552377879,0.906660740336404,2.261
"10",10,3.66680555555556,8.03126748679462,0.990284545684624,0.979799366531956,0.906056874952735,2.261
"11",11,3.52623148148148,7.94504673493935,0.990529658220541,0.983772231707167,0.913628482423187,2.626
