"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.274611111111111,0.449459348939597,0.999952039233856,0.997346708778131,0.96858355918858,0
"2",2,0.276842519685039,0.435939793936052,0.999954536633971,0.996171164528969,0.960426551527169,3.074
"3",3,0.320700787401575,0.550934488867436,0.999928079887585,0.998150055566756,0.973900669877768,2.645
"4",4,0.300157480314961,0.509865599088484,0.999938339634094,0.99687868515429,0.963264829521312,3.122
"5",5,0.251196850393701,0.398053729606373,0.999962541744981,0.99812221773809,0.974273142267268,2.151
"6",6,0.327740157480315,0.553112915811768,0.999927077369184,0.996291305982361,0.963190938993873,4.136
"7",7,0.287653543307086,0.463818386939319,0.999948872848024,0.995977853908111,0.960937275026384,2.88
"8",8,0.314551181102363,0.483134027148759,0.999944905599322,0.997263910295908,0.965082107548771,7.194
"9",9,0.291440944881889,0.467920201488063,0.99994829951558,0.996805440174398,0.965703756814841,2.261
"10",10,0.306968503937008,0.480960677424201,0.999947058587971,0.996921166647439,0.968336177681862,2.261
"11",11,0.293196850393701,0.471578685579526,0.999947158994513,0.997512871875046,0.969443320855078,2.626
