"","state","mae","rmse","r","rho","tau","rmsd"
"1",1,0.200992063492063,0.366362936972753,0.999968018540803,0.998104132581299,0.977990613399091,0
"2",2,0.202889763779527,0.333796404070024,0.999973320992941,0.99822325561086,0.976765590313578,3.074
"3",3,0.216685039370079,0.383307600414385,0.999965204683025,0.998672939056157,0.980211927814214,2.645
"4",4,0.243763779527559,0.435552613056285,0.999955860806168,0.998366813554026,0.975644548880483,3.122
"5",5,0.190236220472441,0.327777051172882,0.999974459408862,0.998728612067421,0.97933994859957,2.151
"6",6,0.232574803149607,0.418459162722173,0.999958511863808,0.997899563675369,0.974456221167994,4.136
"7",7,0.22096062992126,0.3754786132077,0.999966447919423,0.997985974683966,0.973637613706997,2.88
"8",8,0.246755905511812,0.404953462865321,0.999961050708684,0.998681746445628,0.979281324352561,7.194
"9",9,0.20863779527559,0.349402222926281,0.999970876237529,0.997909820254467,0.972893144756922,2.261
"10",10,0.209377952755905,0.354003681194436,0.99997006071048,0.998314087915314,0.975898220107522,2.261
"11",11,0.213370078740158,0.374428067795079,0.999966741666875,0.999156301923662,0.985219524814318,2.626
