"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999852348900552","0.999704719601951","0.787522738396843","0.461269841269841"
2,"","0.999775571352619","0.999551193073455","0.984444765369288","0.47"
3,"","0.999769797237784","0.99953964746888","0.984538742474399","0.499055118110236"
4,"","0.999728190261797","0.999456454404129","1.06986863569216","0.530551181102362"
5,"","0.999842483543497","0.999684991898428","0.82537273851292","0.422125984251969"
6,"","0.999562218287844","0.999124628228516","1.3555116417883","0.75488188976378"
7,"","0.99978337256371","0.999566792054866","0.970605785348089","0.436062992125984"
8,"","0.999652520821373","0.999305162384525","1.20754648106688","0.696535433070866"
9,"","0.999738614579381","0.999477297481099","1.04797029169889","0.55"
10,"","0.999738752694311","0.999477573638777","1.04806909070807","0.551968503937008"
11,"","0.999751560241657","0.999503182205628","1.02962687225179","0.528267716535433"
