"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999882860075722","0.999765733873205","0.704362670542344","0.399291338582677"
2,"","0.999796155259459","0.999592352071597","0.949979278679941","0.45992125984252"
3,"","0.999723757472125","0.999447591254184","1.08882910454196","0.542755905511812"
4,"","0.999786677975667","0.999573401457619","0.955855555259102","0.485669291338583"
5,"","0.999845271644831","0.999690567230526","0.833149796061408","0.435905511811024"
6,"","0.999632693575942","0.999265522065894","1.24347683760868","0.668031496062993"
7,"","0.999748967328318","0.999497997674039","1.04953082881349","0.474330708661418"
8,"","0.999705168274559","0.999410423474864","1.1134241715657","0.648188976377953"
9,"","0.999752451185506","0.999504963651427","1.02651386189443","0.505669291338583"
10,"","0.999743847826146","0.999487761266229","1.04685618592801","0.51251968503937"
11,"","0.999746271662665","0.999492607703399","1.05141936313031","0.540866141732284"
