"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999876397043382","0.999752809364454","0.72426014380574","0.433070866141732"
2,"","0.999748041196475","0.999496145876188","1.04670160598353","0.517795275590551"
3,"","0.999763976232114","0.999528008171447","1.00583807654138","0.528031496062992"
4,"","0.999775745670979","0.999551541631962","0.981687042197715","0.518661417322835"
5,"","0.99983501593078","0.999670059081303","0.851508157173074","0.456692913385827"
6,"","0.999550707668154","0.999101617199908","1.37889177228854","0.759448818897638"
7,"","0.999754274469596","0.999508609320229","1.03878980162904","0.508425196850394"
8,"","0.999669678398972","0.999339465910304","1.17948206970513","0.683149606299213"
9,"","0.999738786538397","0.999477641309267","1.05840207890476","0.526220472440944"
10,"","0.999719516793939","0.999439112258706","1.09663443617925","0.560866141732283"
11,"","0.999726143072693","0.999452361143002","1.08919026486233","0.583149606299213"
