"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999885629572696","0.999771272225986","0.693581370936559","0.380944881889764"
2,"","0.999789301030941","0.999578646455938","0.958569307932523","0.432440944881889"
3,"","0.999767197804096","0.999534449805055","1.00263550343877","0.47"
4,"","0.999766114397717","0.99953228349791","1.00430216301951","0.485905511811023"
5,"","0.999868337032488","0.999736691400113","0.757348773917493","0.375354330708661"
6,"","0.999654049241314","0.999308218164555","1.20631899256002","0.617874015748031"
7,"","0.999769376209002","0.999538805605338","1.00591870493837","0.406456692913385"
8,"","0.999747904222171","0.999495871996624","1.03027096810331","0.588661417322835"
9,"","0.999776338453785","0.999552726932058","0.982889441159741","0.452834645669292"
10,"","0.999779570482988","0.999559189555147","0.976825970364196","0.440787401574803"
11,"","0.99976232106138","0.999524698614038","1.01117223623801","0.507086614173228"
