"model","nuc","r","rsquare","RMSE","MAE"
1,"","0.999792473201773","0.999584989470918","0.934212371950571","0.474488188976378"
2,"","0.999724203687419","0.999448483438444","1.08601634244748","0.494173228346457"
3,"","0.999765559384068","0.999531173730538","1.00136481666923","0.509842519685039"
4,"","0.999765463123705","0.999530981254957","1.00742362599094","0.538110236220472"
5,"","0.99985256889378","0.999705159523491","0.796558542613802","0.429763779527559"
6,"","0.999574424547582","0.99914903020963","1.33642960700824","0.732283464566929"
7,"","0.999669281166893","0.999338671708733","1.19175613158287","0.539448818897638"
8,"","0.99971985336887","0.999439785219875","1.08500662213589","0.608031496062992"
9,"","0.999763708946314","0.999527473726091","1.00421591617501","0.528267716535433"
10,"","0.999723391472585","0.999446859457448","1.08966692881267","0.532992125984252"
11,"","0.999729611007117","0.999459295124441","1.08148738348162","0.55251968503937"
