"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.999008857084586","0.99801869653345","1.12226679475991","0.781034482758619"
2,"C","0.998520773823045","0.997043735756172","1.39648469075942","0.745762711864406"
3,"C","0.998401744049667","0.996806042521417","1.41247468853878","0.842372881355932"
4,"C","0.998144432166531","0.996292307465047","1.53086881280987","0.9"
5,"C","0.998944784140136","0.997890681760783","1.16771542853295","0.679661016949153"
6,"C","0.996931206754106","0.993871831000198","1.95266007178213","1.33559322033898"
7,"C","0.998555543288519","0.997113173032229","1.38227275387374","0.689830508474576"
8,"C","0.997638499755146","0.995282576193699","1.7255311145032","1.20508474576271"
9,"C","0.998182951398111","0.996369204461845","1.50146820800875","0.933898305084747"
10,"C","0.998188320726374","0.996379923634538","1.49994350176084","0.935593220338984"
11,"C","0.99830419088031","0.99661125752919","1.47642490783466","0.906779661016949"
