"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.99894273754168","0.997886592887266","1.15868130772933","0.69322033898305"
2,"C","0.998576280586646","0.997154588150261","1.37901954853956","0.806779661016949"
3,"C","0.997887325757462","0.995779114907379","1.65073173297095","0.954237288135594"
4,"C","0.998577713700767","0.997157450299852","1.3466845666428","0.813559322033898"
5,"C","0.998953402577205","0.997907900520576","1.19610951258725","0.747457627118644"
6,"C","0.997237450912351","0.994482533502164","1.86270261097931","1.18474576271187"
7,"C","0.998316516604671","0.996635867325685","1.52042589929738","0.815254237288136"
8,"C","0.99773892918051","0.995482970802271","1.70939576994477","1.17966101694915"
9,"C","0.998540193442135","0.997082517919456","1.3844169059541","0.793220338983052"
10,"C","0.998464212585267","0.996930783813518","1.40139156023031","0.808474576271187"
11,"C","0.998327594945799","0.996657986830263","1.46472650307611","0.88135593220339"
