"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.999176861744998","0.998354401046582","1.02535649030149","0.733898305084745"
2,"C","0.998322947563762","0.996648707632399","1.48996644257513","0.861016949152542"
3,"C","0.998384883505886","0.996772375613062","1.44345395563347","0.90677966101695"
4,"C","0.998531592383912","0.997065340988751","1.39454141663554","0.850847457627119"
5,"C","0.998918450375321","0.997838070500233","1.20063542498496","0.73728813559322"
6,"C","0.99691632424666","0.993842157549473","1.98946377240072","1.35254237288136"
7,"C","0.998372420810003","0.996747490634026","1.47929208905671","0.81864406779661"
8,"C","0.997824293115203","0.995653319930854","1.67210412456576","1.14237288135593"
9,"C","0.998197328933888","0.99639790749075","1.52181871567865","0.915254237288135"
10,"C","0.998085050552751","0.996173768136887","1.57765111822844","0.97457627118644"
11,"C","0.998148187994347","0.996299805196398","1.56167011859805","1.01525423728814"
