"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.999225390610885","0.998451381241475","0.99592389607824","0.681355932203389"
2,"C","0.998485667548551","0.996973628299876","1.40802783100383","0.686440677966101"
3,"C","0.998387019157992","0.996776640023182","1.45118303579867","0.811864406779661"
4,"C","0.998486454263784","0.996975199348263","1.40742582668754","0.754237288135593"
5,"C","0.999195473531235","0.998391594325308","1.04053441288925","0.59322033898305"
6,"C","0.997737900979004","0.995480919049988","1.7138023935296","1.0728813559322"
7,"C","0.998229170871388","0.996461477578578","1.52204144802023","0.708474576271186"
8,"C","0.99838021657074","0.996763056839838","1.4378656498848","0.976271186440678"
9,"C","0.998495145032579","0.996992554653631","1.39545266332944","0.723728813559322"
10,"C","0.998435940996777","0.996874328274119","1.41935769670173","0.759322033898305"
11,"C","0.998392367049308","0.996787318582321","1.44263177584509","0.835593220338982"
