"model","nuc","r","rsquare","RMSE","MAE"
1,"C","0.998606190210747","0.997214323127224","1.33936488870089","0.823728813559322"
2,"C","0.998118887683482","0.996241313950511","1.54859148687455","0.811864406779662"
3,"C","0.998406178563683","0.996814897394138","1.43591935942784","0.886440677966101"
4,"C","0.998489447432602","0.996981176634264","1.42495911329984","0.894915254237288"
5,"C","0.999080117185891","0.998161080556173","1.11385724673393","0.667796610169491"
6,"C","0.997062119922925","0.994132870985197","1.92767533661398","1.33220338983051"
7,"C","0.997755495017388","0.995516027837392","1.7120708048086","0.922033898305086"
8,"C","0.998164686207201","0.996332740791119","1.53617398379044","1.00508474576271"
9,"C","0.998378835589513","0.996760299353071","1.43373401310668","0.905084745762711"
10,"C","0.99808236479604","0.996168406916855","1.56199568132392","0.903389830508474"
11,"C","0.99814947140404","0.996302367264164","1.54908392831026","0.935593220338983"
