"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.975974062304561","0.952525370291267","0.274357538302722","0.184852941176471"
2,"H","0.962732598325788","0.926854055879124","0.340488403534065","0.23"
3,"H","0.963501473587758","0.92833508960578","0.338569655705744","0.228235294117647"
4,"H","0.964680760196458","0.930608969093217","0.331771094014427","0.216323529411765"
5,"H","0.970122525552175","0.94113771458373","0.306551022526047","0.221176470588235"
6,"H","0.95301293009547","0.908233644929154","0.381377148518058","0.266911764705882"
7,"H","0.966093733955467","0.933337102788016","0.328438820518418","0.224852941176471"
8,"H","0.952422073315839","0.907107805739242","0.385133666635975","0.264558823529412"
9,"H","0.966388942475035","0.933907588138017","0.325235209004915","0.223088235294118"
10,"H","0.962722938677442","0.926835456655729","0.341422198527071","0.233676470588235"
11,"H","0.963772840117947","0.928858087349013","0.337436268492463","0.229852941176471"
