"","model","nuc","r","rsquare","RMSE","MAE"
"2",1,"H","0.977639165878902","0.955778338660396","0.265246832880133","0.167941176470588"
"21",2,"H","0.964111958399001","0.929511868327957","0.336583177378368","0.221764705882353"
"22",3,"H","0.973841859978928","0.948367968247217","0.289705733054605","0.183529411764706"
"23",4,"H","0.963693845830646","0.928705828491861","0.336546037406649","0.206617647058823"
"24",5,"H","0.970702287241586","0.942262930456047","0.304585060079331","0.199852941176471"
"25",6,"H","0.96338840522516","0.928117219322277","0.33777167714649","0.223382352941176"
"26",7,"H","0.965601009295196","0.932385309151901","0.329205817974463","0.2"
"27",8,"H","0.956982113952202","0.915814766424425","0.365863201692847","0.235"
"28",9,"H","0.968320354831067","0.937644309580164","0.316896717262525","0.209705882352941"
"29",10,"H","0.971609630304294","0.944025273700047","0.301613309114989","0.193823529411765"
"210",11,"H","0.970696705571256","0.942252094206889","0.309278096826255","0.20235294117647"
