"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.980223276050599","0.960837670911368","0.25059047913936","0.163382352941176"
2,"H","0.967379261550515","0.935822635678021","0.324127788887981","0.223235294117647"
3,"H","0.974797326277316","0.950229827317404","0.285760080363601","0.203823529411765"
4,"H","0.959520656525924","0.92067989029994","0.355178082922124","0.2225"
5,"H","0.969998812009571","0.940897695299979","0.308861762339229","0.202205882352941"
6,"H","0.964049047211718","0.929390565429821","0.335239159582599","0.215294117647059"
7,"H","0.96398349406867","0.929264176836842","0.339536881822354","0.222647058823529"
8,"H","0.95413552473789","0.910374599566848","0.37808340194133","0.262941176470588"
9,"H","0.970346482388728","0.941572295884178","0.312532351266609","0.214705882352941"
10,"H","0.971555288725339","0.943919679050178","0.306078133046795","0.206617647058823"
11,"H","0.97185632895203","0.944504724124117","0.303133148768578","0.203676470588235"
