"model","nuc","r","rsquare","RMSE","MAE"
1,"H","0.977934326788844","0.956355547511949","0.266637559685979","0.183676470588235"
2,"H","0.962855992459737","0.927091662215625","0.341639645033804","0.224117647058823"
3,"H","0.971944655577016","0.944676413504724","0.302992428560032","0.207205882352941"
4,"H","0.964521101653791","0.930300955535443","0.333283574717493","0.2225"
5,"H","0.972549165891855","0.945851880076944","0.300374765917512","0.218382352941176"
6,"H","0.959208014089588","0.920080014293691","0.358228894949124","0.256029411764706"
7,"H","0.971960787998303","0.944707773406283","0.301757109180838","0.212205882352941"
8,"H","0.950709253746359","0.903848085158958","0.392225925291264","0.273529411764706"
9,"H","0.966425873496198","0.933978968962889","0.328743150230586","0.230441176470588"
10,"H","0.970361160244183","0.941600781310437","0.3110324363641","0.219705882352941"
11,"H","0.970190100179487","0.941268830486284","0.309893245375584","0.212794117647059"
